start_month,end_month,start_month_community,end_month_community,jaccard_score,common_members,uncommon_members,start_month_members,total_start_month_members,end_month_members,total_end_month_members,start_month_absolute_theme,end_month_absolute_theme,start_month_weighted_theme,end_month_weighted_theme,start_month_general_theme,end_month_general_theme
january,february,january_21,february_10,0.8300653594771242,"[705010088587739136, 708109929941495809, 753245086503276545, 708153637780979712, 4577589252, 755773802613792769, 753135483530649600, 753257017985343488, 753111979355701248, 753146433897922560, 756337577960046593, 756891080294039553, 765907582259167233, 896433678, 4698236432, 951825942, 870879266, 784263169996836900, 870882342, 915975206, 4699061804, 870886453, 1091969084, 863001163, 896449622, 870892134, 915807342, 765910052708421632, 755848821448511488, 756303624167362560, 756482440215072768, 756891633086566400, 756893436091961345, 756912977866002433, 756925310289973249, 756922206555410432, 951795330, 896440986, 756235895880179712, 756264959336669184, 756369439541583872, 916004004, 870881976, 4431576263, 756896667174043648, 915656912, 929528022, 754526264065744896, 756891507173580800, 4697675496, 4506488051, 915722492, 756399335533846528, 756904523189346304, 756911892535336960, 765809493590564864, 765909919019196416, 765838829454499841, 765857763712966657, 708204345469345792, 756881732826193921, 915896065, 755801917125779457, 756271610244526080, 916017960, 915812143, 870903090, 4501456696, 870906686, 870872898, 4496932162, 953096516, 765877629308301312, 753118526911737856, 753124449491283968, 870876488, 915807048, 755808480037105664, 756249866553192448, 756905542979813376, 916051280, 870898004, 915915606, 870907736, 1093086042, 1094795100, 916490078, 916342638, 870912895, 870895488, 756423469265481728, 756915457672769536, 765881369943764992, 756286894376415232, 756773426640121856, 756916488829796352, 756919296312344576, 765812133221236736, 756909373197254656, 765676559256711168, 870898051, 755814710847602688, 755820797202137088, 755853320858763264, 1093122954, 916185487, 1092968340, 929532313, 765895476755464192, 915468734, 915760574, 4697031619, 756867598743109632, 756875453483319296, 1092580321, 753261223056211968, 755807795702890496, 756727573401534464, 756842252295700480, 765572460586696704, 765807721782411264, 765890902317563904, 765914327887085568, 916037102, 1091988979, 951798776, 870886394]","[708168310307749889, 870889484, 870893084, 915932196, 870899796, 915986017, 4717129347, 765875465114492928, 916141712, 4577501358, 916006585, 4710967996, 870903534, 753150029808951297, 870912794, 756397841925435392, 756385096224108544, 1091967787, 870865213, 765869743328915456, 929535824, 870911347, 870859134, 863191454, 870901164, 1093140967]","[863001163, 863191454, 870859134, 870865213, 870872898, 870876488, 870879266, 870881976, 870882342, 870886394, 870886453, 870889484, 870892134, 870893084, 870895488, 870898004, 870898051, 870899796, 870901164, 870903090, 870903534, 870906686, 870907736, 870911347, 870912794, 870912895, 896433678, 896440986, 896449622, 915468734, 915656912, 915722492, 915760574, 915807048, 915807342, 915812143, 915896065, 915915606, 915932196, 915975206, 915986017, 916004004, 916006585, 916017960, 916037102, 916051280, 916141712, 916185487, 916342638, 916490078, 929528022, 929532313, 951795330, 951798776, 951825942, 953096516, 1091967787, 1091969084, 1091988979, 1092580321, 1092968340, 1093086042, 1093122954, 1093140967, 1094795100, 4431576263, 4496932162, 4501456696, 4506488051, 4577589252, 4697031619, 4697675496, 4698236432, 4699061804, 705010088587739136, 708109929941495809, 708153637780979712, 708204345469345792, 753111979355701248, 753118526911737856, 753124449491283968, 753135483530649600, 753146433897922560, 753150029808951297, 753245086503276545, 753257017985343488, 753261223056211968, 754526264065744896, 755773802613792769, 755801917125779457, 755807795702890496, 755808480037105664, 755814710847602688, 755820797202137088, 755848821448511488, 755853320858763264, 756235895880179712, 756249866553192448, 756264959336669184, 756271610244526080, 756286894376415232, 756303624167362560, 756337577960046593, 756369439541583872, 756385096224108544, 756397841925435392, 756399335533846528, 756423469265481728, 756482440215072768, 756727573401534464, 756773426640121856, 756842252295700480, 756867598743109632, 756875453483319296, 756881732826193921, 756891080294039553, 756891507173580800, 756891633086566400, 756893436091961345, 756896667174043648, 756904523189346304, 756905542979813376, 756909373197254656, 756911892535336960, 756912977866002433, 756915457672769536, 756916488829796352, 756919296312344576, 756922206555410432, 756925310289973249, 765572460586696704, 765676559256711168, 765807721782411264, 765809493590564864, 765812133221236736, 765838829454499841, 765857763712966657, 765869743328915456, 765875465114492928, 765877629308301312, 765881369943764992, 765890902317563904, 765895476755464192, 765907582259167233, 765909919019196416, 765910052708421632, 765914327887085568, 784263169996836900]",148,"[863001163, 870872898, 870876488, 870879266, 870881976, 870882342, 870886394, 870886453, 870892134, 870895488, 870898004, 870898051, 870903090, 870906686, 870907736, 870912895, 896433678, 896440986, 896449622, 915468734, 915656912, 915722492, 915760574, 915807048, 915807342, 915812143, 915896065, 915915606, 915975206, 916004004, 916017960, 916037102, 916051280, 916185487, 916342638, 916490078, 929528022, 929532313, 929535824, 951795330, 951798776, 951825942, 953096516, 1091969084, 1091988979, 1092580321, 1092968340, 1093086042, 1093122954, 1094795100, 4431576263, 4496932162, 4501456696, 4506488051, 4577501358, 4577589252, 4697031619, 4697675496, 4698236432, 4699061804, 4710967996, 4717129347, 705010088587739136, 708109929941495809, 708153637780979712, 708168310307749889, 708204345469345792, 753111979355701248, 753118526911737856, 753124449491283968, 753135483530649600, 753146433897922560, 753245086503276545, 753257017985343488, 753261223056211968, 754526264065744896, 755773802613792769, 755801917125779457, 755807795702890496, 755808480037105664, 755814710847602688, 755820797202137088, 755848821448511488, 755853320858763264, 756235895880179712, 756249866553192448, 756264959336669184, 756271610244526080, 756286894376415232, 756303624167362560, 756337577960046593, 756369439541583872, 756399335533846528, 756423469265481728, 756482440215072768, 756727573401534464, 756773426640121856, 756842252295700480, 756867598743109632, 756875453483319296, 756881732826193921, 756891080294039553, 756891507173580800, 756891633086566400, 756893436091961345, 756896667174043648, 756904523189346304, 756905542979813376, 756909373197254656, 756911892535336960, 756912977866002433, 756915457672769536, 756916488829796352, 756919296312344576, 756922206555410432, 756925310289973249, 765572460586696704, 765676559256711168, 765807721782411264, 765809493590564864, 765812133221236736, 765838829454499841, 765857763712966657, 765877629308301312, 765881369943764992, 765890902317563904, 765895476755464192, 765907582259167233, 765909919019196416, 765910052708421632, 765914327887085568, 784263169996836900]",132,US Immigration Policy.Trump Administration Actions.Political and Legal Controversies,US Immigration Policy.Trump Administration.Judicial Proceedings,US Immigration Policy.Trump Administration Controversies.Media and Political Response.Obama Administration Legacy,US Immigration Policy and Legal Challenges.Media and Public Reaction,US Immigration Policy and Executive Orders.Political and Legal Controversies,US Immigration Policy and Legal Challenges.US-Mexico Border Wall.Media and Public Reaction
january,february,january_55,february_100,0.5,"[728947876836089856, 728947876836089900, 2904163055, 3762884535, 3010711135]","[2613783553, 822907599205105665, 77043235, 109456108, 2440140210]","[2904163055, 3010711135, 3762884535, 728947876836089856, 728947876836089900, 822907599205105665]",6,"[77043235, 109456108, 2440140210, 2613783553, 2904163055, 3010711135, 3762884535, 728947876836089856, 728947876836089900]",9,Protest and Demonstration.Immigration and Refugee Issues,US Immigration Policies and Protests.Social Media Activism.Muslim Community Impact,Travel and Immigration Restrictions.Iranian Students and Advocacy.Protests and Demonstrations.Public Sentiment and Reactions,US Immigration Policy Controversy,Protests and Demonstrations.Immigration and Refugee Issues.Student Visa and Immigration Policies,US Immigration Policy and Protests.Social Media Activism
january,february,january_85,february_93,0.5,"[2650905729, 2265661259]","[3056507852, 2603032396]","[2265661259, 2603032396, 2650905729]",3,"[2265661259, 2650905729, 3056507852]",3,Immigration and Refugee Policy.Political Activism and Opposition.Affected Groups and Regions,US Immigration Policy,US Immigration Policies.Protests and Public Response.Trump Administration Actions.Affected Groups and Locations,US Immigration Policy Controversy,Immigration and Travel Ban Protests.Impact on Iranian and Muslim Communities.American Political Climate,US Immigration Policy
january,february,january_114,february_195,1.0,"[1017498714, 294176860, 3948602175]",[],"[294176860, 1017498714, 3948602175]",3,"[294176860, 1017498714, 3948602175]",3,Trump's Immigration and Travel Ban.Controversy and Legal Challenges,US Immigration Policy and Legal Challenges,US Immigration Policy and Protests.Political Opposition to Trump,US Travel Ban Controversy,Theme 1: Immigration Policy Controversy.Theme 2: Trump Administration and Opposition,US Travel Ban Controversy
january,february,january_118,february_186,1.0,"[88951664, 720008230412410900, 720008230412410885]",[],"[88951664, 720008230412410885, 720008230412410900]",3,"[88951664, 720008230412410885, 720008230412410900]",3,Trump's Immigration and Travel Ban.Controversy and Legal Challenges,US Travel Ban.Trump Administration.Judicial Response,US Immigration Policy and Controversy,US Travel Ban Controversy,Trump's Immigration Policy.Controversy and Legal Challenges,US Travel Ban Controversy
january,february,january_120,february_111,0.6,"[809892522805829600, 809892522805829632, 802319182360612869]","[802319182360612900, 560817896]","[802319182360612869, 809892522805829600, 809892522805829632]",3,"[560817896, 802319182360612869, 802319182360612900, 809892522805829600, 809892522805829632]",5,Trump's Immigration and Travel Ban.Controversy and Legal Challenges,US Travel Ban Controversy,US Immigration Policy and Protests.Political Opposition to Trump,US Travel Ban Controversy,Theme 1: Trump's Immigration Policies.Theme 2: Political Opposition and Resistance.Theme 3: Legal and Governmental Actions,US Travel Ban Controversy
january,february,january_132,february_134,0.75,"[715329083802931200, 808342475228127232, 78817006]",[791783093145178112],"[78817006, 715329083802931200, 808342475228127232]",3,"[78817006, 715329083802931200, 791783093145178112, 808342475228127232]",4,Trump's Immigration and Travel Ban.Controversy and Legal Challenges,US Immigration Policy and Legal Challenges,US Immigration Policy and Protests.Political Opposition to Trump,US Travel Ban Controversy,Trump's Immigration Policies.Controversial Executive Orders.Political Resistance and Protests.Sally Yates and Legal Challenges,US Immigration Policy and Legal Challenges
february,march,february_3,march_92,0.75,"[695739596500557800, 2885643969, 695739596500557825]",[803796897718796300],"[2885643969, 695739596500557800, 695739596500557825, 803796897718796300]",4,"[2885643969, 695739596500557800, 695739596500557825]",3,Political Support.American Nationalism.Trump Presidency.Political Opposition.America First,Travel Ban Controversy.Political Reactions and Criticism,US Immigration Policy.Trump Administration Legal Challenges,US Immigration Policy and Legal Challenges,Political Support and Opposition.Immigration and Travel Ban,Travel Ban Controversy
february,march,february_54,march_93,0.5172413793103449,"[1939212224, 2334894821, 2331266245, 2321479686, 2347832648, 2282990761, 358005482, 2351157576, 2383802631, 2864321805, 2994390921, 24645871, 2296218770, 2322972280, 1511154877]","[740735647833432064, 3241468546, 2274974018, 2359310914, 2178339595, 284090190, 142979922, 2308943065, 2367572508, 2358140324, 1947549415, 1692227370, 2358613165, 3153083326]","[24645871, 142979922, 284090190, 358005482, 1511154877, 1692227370, 1939212224, 1947549415, 2178339595, 2274974018, 2282990761, 2296218770, 2308943065, 2321479686, 2322972280, 2331266245, 2334894821, 2347832648, 2351157576, 2358140324, 2358613165, 2359310914, 2367572508, 2383802631, 2864321805, 2994390921, 3153083326, 3241468546, 740735647833432064]",29,"[24645871, 358005482, 1511154877, 1939212224, 2282990761, 2296218770, 2321479686, 2322972280, 2331266245, 2334894821, 2347832648, 2351157576, 2383802631, 2864321805, 2994390921]",15,Immigration and Resistance Movements,Immigration and Resistance,Immigration and Social Justice,Immigration and Human Rights.Anti-Muslim Ban and Travel Restrictions.Social Media Activism.Anti-Extremism and Religion.Protest and Advocacy,Immigration and Resistance.Social Media Activism,Anti-Immigration Policies and Resistance
february,march,february_134,march_101,1.0,"[715329083802931200, 791783093145178112, 78817006, 808342475228127232]",[],"[78817006, 715329083802931200, 791783093145178112, 808342475228127232]",4,"[78817006, 715329083802931200, 791783093145178112, 808342475228127232]",4,US Immigration Policy and Legal Challenges,US Immigration Policy.Media and Finance,US Travel Ban Controversy,Travel Ban,US Immigration Policy and Legal Challenges,US Immigration Policy
march,april,march_93,april_13,0.5789473684210527,"[1939212224, 2331266245, 2321479686, 2383802631, 2347832648, 2351157576, 358005482, 2994390921, 2296218770, 2322972280, 1511154877]","[2359310914, 3241468546, 2864321805, 2358140324, 2334894821, 2282990761, 24645871, 3153083326]","[24645871, 358005482, 1511154877, 1939212224, 2282990761, 2296218770, 2321479686, 2322972280, 2331266245, 2334894821, 2347832648, 2351157576, 2383802631, 2864321805, 2994390921]",15,"[358005482, 1511154877, 1939212224, 2296218770, 2321479686, 2322972280, 2331266245, 2347832648, 2351157576, 2358140324, 2359310914, 2383802631, 2994390921, 3153083326, 3241468546]",15,Immigration and Resistance,Social Media Activism.Immigration and Anti-Discrimination,Immigration and Human Rights.Anti-Muslim Ban and Travel Restrictions.Social Media Activism.Anti-Extremism and Religion.Protest and Advocacy,Social Media Activism.Immigration and Latino Advocacy,Anti-Immigration Policies and Resistance,Social Media Activism.Immigration and Latino Advocacy
march,april,march_106,april_17,0.5,"[3184778978, 3185719406]","[3107232691, 3192741882]","[3184778978, 3185719406, 3192741882]",3,"[3107232691, 3184778978, 3185719406]",3,US Immigration Policy.Media and Finance,Social Media Activism.Singapore Tourism and Diplomacy,US Travel Ban Controversy,Social Media and Activism.Singapore and Positive Initiatives,US Immigration Policy,Social Media Activism.Singapore Tourism and Diplomacy
