absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
8,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",184,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[15878034, 23835021, 33806698, 37332725, 63043668, 71574379, 81245362, 84128678, 84174028, 84498743, 85583894, 102651488, 138331342, 140171995, 187067097, 222122852, 228238479, 257824868, 266437259, 303081181, 318785653, 343473755, 362694376, 385192652, 458959009, 481809371, 559173692, 889068301, 963437460, 1015899374, 1035919266, 1199866860, 1251644070, 1343828558, 1663608572, 1710505440, 1921509044, 1969254588, 2163430424, 2235714604, 2335844449, 2410055346, 2552422374, 2582403084, 2674518384, 2832321597, 2941316370, 3241190188, 3302725796, 3306101853, 3432973581, 3461696174, 3700366215, 4158636562, 4356951381, 4358918712, 4464513445, 710123993299357696, 745999425386885121, 748599497975021569, 749323790916657152, 753322826678013953, 806250338323939328, 809924490297745408, 815445236784787456]"
14,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",25,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[47813521, 1057356487, 784785269262344192]"
16,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",26,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[16399993, 93069110, 137751142, 2421708751]"
18,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",29,7,"['muslimban', 'muslim', 'maga', 'travelban']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[50769180, 525652918, 2192113540, 830118236406632448]"
19,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",30,2,"['nobannowall', 'muslimban', 'tntweeter', 'uslatino', 'heretostay', 'latism', 'inmigracion', 'notmore', 'immigration', 'refugeeswelcome', 'nomuslimban', 'refugee', 'niunomas', 'timeisnow', 'stand']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",13,"['nobannowall', 'muslimban', 'heretostay', 'nomuslimban', 'refugeeswelcome', 'refugee', 'protest']","[780479026343194624, 800942537083068400, 806877805157949440, 820850838671237120]"
21,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",47,4,"['resist', 'theresistance', 'dworkinreport', 'trump', 'nodapl', 'impeachtrump', 'flynn', 'fireflynn']",13,"['theresistance', 'resist', 'nobannowall', 'impeachtrump', 'impeachtrump_impeachtrumpnow', 'resistance', 'trump']",7,"['muslimban', 'resist', 'theresistance', 'dworkinreport', 'nodapl', 'impeachtrump']","[24470087, 24920077, 126364026, 215002582, 253677176, 3372940330, 776751034098126848, 792457353723469824, 808827316470185989, 823803346884640768]"
25,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",32,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",11,"['ban', 'travel', 'order', 'immigration', 'trump', 'president', 'court', 'trumps', 'federal', 'judge', 'executive', 'muslim', 'halt']",6,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'federal', 'block', 'rule', 'white_house', 'halt', 'justice_department']","[790399874, 4510755552, 742743988269092864]"
26,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",33,7,"['muslimban', 'muslim', 'maga', 'travelban']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[16873455, 4844679426, 787211898278191104]"
27,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",36,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",6,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'federal', 'block', 'rule', 'white_house', 'halt', 'justice_department']","[40813666, 287360112, 358155712, 380782294, 1017515348, 1270793143, 2308939452, 2345391823, 2826946435, 2827072824, 2834618630, 3143003737, 3306341327, 3328277663, 3404806331, 4493348365, 4605204442]"
30,10,"['order', 'immigration', 'ban', 'travel', 'judge', 'executive', 'halt', 'country', 'muslim', 'poll', 'tweet', 'marine', 'iraq', 'comment']",143,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",10,"['trumprussia', 'trumpleak', 'trump', 'tie', 'flynn', 'ban', 'break', 'travel', 'read']","[15576928, 21792170, 108146158, 108288348]"
