absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
0,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",2,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[522537060, 716418247579549696, 733246533156655100, 764950182572142593, 770839424766804000]"
3,4,"['ban', 'trump', 'muslimban', 'travel', 'muslim', 'trumps', 'country', 'lose', 'total', 'judge']",11,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",0,"['ban', 'trump', 'muslimban', 'travel', 'lose', 'muslim', 'trumps', 'country', 'terror_threat', 'exclude_country']",6,"['radio_live', 'stock_money', 'blackoutday']","[29442313, 216776631, 485958942]"
5,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",9,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",9,"['ban', 'travel', 'trump', 'muslim']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[6392972, 18910693, 49047411, 110396781, 937875895, 2495386515, 2806325167, 2930574973, 3713258776, 783134630669148161]"
6,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",12,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[478855762, 2903166449, 4040707780, 799609981121138690]"
14,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",14,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",9,"['ban', 'travel', 'trump', 'muslim']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[629565974, 1146358172, 2922305530, 821136198798340097]"
16,4,"['ban', 'trump', 'muslimban', 'travel', 'muslim', 'trumps', 'country', 'lose', 'total', 'judge']",46,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[17642747, 2617327641, 839574081854931000]"
18,3,"['muslimban', 'muslim', 'ban', 'travelban', 'maga', 'trump', 'country', 'travel', 'judge', 'offend', 'leave', 'obama', 'america']",17,8,"['travelban', 'maga', 'muslimban', 'trump', 'pvv', 'tcot', 'islam', 'refugee', 'refugeeswelcome', 'bordersclose', 'read', 'marinelepen', 'vote', 'france']",11,"['refugeeswelcome', 'travelban', 'maga', 'muslimban', 'tcot', 'pvv', 'islam', 'stopislamofobia', 'bordersclose']",10,"['muslimban', 'muslim', 'ban', 'country', 'trump']","[3089155533, 704041886089084900, 823677081422688256]"
20,4,"['ban', 'trump', 'muslimban', 'travel', 'muslim', 'trumps', 'country', 'lose', 'total', 'judge']",18,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",0,"['ban', 'trump', 'muslimban', 'travel', 'lose', 'muslim', 'trumps', 'country', 'terror_threat', 'exclude_country']",4,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[15155181, 22165261, 32298202, 152570227]"
23,6,"['ban', 'muslim', 'muslimban', 'trump', 'court', 'aclu']",20,3,"['muslimban', 'nobannowall', 'live', 'true']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",9,"['muslimban', 'nobannowall', 'immigration', 'tntweeter_uslatino']","[420075825, 2799538857, 797080559839309800, 834520434318139400]"
26,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",21,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[2785269257, 4717892303, 764322548754550784, 818589875851051008]"
27,3,"['muslimban', 'muslim', 'ban', 'travelban', 'maga', 'trump', 'country', 'travel', 'judge', 'offend', 'leave', 'obama', 'america']",22,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",10,"['muslimban', 'ban', 'muslim', 'offend_sink', 'travel', 'long_conservative', 'country']",0,"['travelban', 'refugeeswelcome', 'maga', 'trump', 'ban', 'refugee', 'noban', 'tcot', 'muslimban', 'islam', 'stopislamofobia', 'judge', 'muslim', 'humanright_fight']","[608471241, 2984330300, 775199416470818817]"
28,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",23,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[68714859, 301692966, 1626294277, 2555055486]"
29,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",24,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",9,"['ban', 'travel', 'trump', 'muslim']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[156370763, 368288476, 3045306697]"
30,11,"['nobannowall', 'muslimban', 'nomuslimban', 'immigrants', 'leftist', 'muslim', 'litigation', 'purge', 'immigration', 'heretostay']",25,3,"['muslimban', 'nobannowall', 'live', 'true']",7,"['muslimban', 'trump', 'radio_live', 'resist', 'stock_money', 'theresistance', 'trumprussia']",9,"['muslimban', 'nobannowall', 'immigration', 'tntweeter_uslatino']","[23113271, 26642006, 542367047, 2409763922]"
31,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",26,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[1664919534, 2767680652, 3314524607]"
32,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",27,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[16272615, 62590731, 65698096]"
33,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",28,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[82616432, 308464109, 1268281370, 3318159007, 4865796322]"
34,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",29,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[14186393, 23153001, 64916983, 186755547, 3157736703]"
36,11,"['nobannowall', 'muslimban', 'nomuslimban', 'immigrants', 'leftist', 'muslim', 'litigation', 'purge', 'immigration', 'heretostay']",31,4,"['travelban', 'refugee', 'immigration', 'refugeeswelcome', 'immigrant', 'muslimban', 'nobannowallnoraid', 'great', 'resisttrump', 'mondaymotivation', 'nobannowall', 'woman', 'resist']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",3,"['fight_terrorism', 'action_extremist', 'create_terrorist', 'travelban_blame', 'extremist', 'create', 'action', 'terrorism', 'terrorist', 'travelban', 'refugee_entire', 'religion', 'entire_religion', 'fight', 'entire', 'refugee', 'remind_ronald', 'reagan_bring', 'communist_cold', 'blame_refugee', 'travelban_blame_refugee_entire']","[321774180, 326208666, 345134536, 931346941, 3195553725, 3576933737, 768947079192412160]"
37,9,"['trumptrain', 'true']",32,3,"['muslimban', 'nobannowall', 'live', 'true']",7,"['muslimban', 'trump', 'radio_live', 'resist', 'stock_money', 'theresistance', 'trumprussia']",6,"['radio_live', 'stock_money', 'blackoutday']","[35300390, 130603246, 171808199, 379463455, 385111201, 500277566, 537890847, 574887275, 1010209111, 3744898573, 4538687428, 711649894402928600, 714472739407532032, 715245592058978305, 715650656753688576, 716775488161710080, 724671839990067200, 728706495387422721, 732241200426557440, 733318875735973888, 738425324422107136, 740774691409924097, 748985476984369153, 750434863845478400, 752256988176871425, 759054028147859457, 766544893036507138, 776542522642268160, 788124385433546752, 789535816821379072, 793086509821734913, 794786565583212544, 819707795574497280, 823654220389826561, 838183916695609344]"
