absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
0,12,"['hawaii', 'thinker', 'pjnet', 'maga', 'logic', 'flaw', 'american', 'aloha', 'akhbar', 'judge', 'travelban']",0,12,"['hawaii', 'thinker', 'pjnet', 'maga', 'logic', 'flaw', 'american', 'aloha', 'akhbar', 'judge', 'travelban']",10,"['wall_trend', 'muslimban', 'muslim', 'trump', 'refugeeban', 'retweet', 'trend', 'wall', 'americafirst', 'ban', 'makeamericasafeagain', 'maga', 'islam', 'trumps', 'change', 'banislam', 'buildthewall', 'muslims']",10,"['wall_trend', 'muslimban', 'muslim', 'trump', 'refugeeban', 'retweet', 'trend', 'wall', 'americafirst', 'ban', 'makeamericasafeagain', 'maga', 'islam', 'trumps', 'change', 'banislam', 'buildthewall', 'muslims']","[13393052, 247036558, 2390007061, 844197011805159424]"
1,3,['ban'],1,3,['ban'],11,['ban'],11,['ban'],"[2405528898, 2482124280, 2951374858, 3033823332, 3146457774, 3146521423, 4059535993, 4420148892, 4650246133, 696914277752385536, 702369491137781761, 705272801112956928, 707560194671190016, 722696732769918977, 731124569277243393, 734730084444217349, 735349451750002688, 735682785529069568, 735686750211690499, 735768361955524613, 736079136553197570, 736311610977878016, 736533882175029252, 736613891635961856, 742300638667669504, 742641874519756800, 742646000972500992, 743403845145944064, 744518734300078080, 744520628556828676, 749107449269932033, 752054583900327936, 752057369517887488, 753192403188719618, 753209433614872576, 753920039854678016, 755609067934986240, 755616083621457920, 755618679769870336, 757453408315899904, 765096748834361344, 765527352147259392, 771760263515152384, 771761213810184192, 771763221359460352, 777434635739553793, 780682803172118528, 782441976683790338, 797691584116445184, 799267782038814725, 800213506364620800, 804324019881340928, 804709438913384400, 806161431137832960, 806589388058742789, 806594735343288320, 807945947896541184, 808960560733814784, 810138680220352512, 810478155119009792, 811482505438105601, 811494587353006080, 811595468023050240, 811794383955628032, 817281523703484416, 817443857080156161, 817594310476648449, 818376011788206080, 818377058082521090, 818379214034501632, 819131733438251008, 819380199460577282, 820484829837934592, 820487645285453824, 821722497825374208, 823432684831641601, 823436568652353536, 834954638075953152, 844604783940059140, 845928770808791041]"
2,6,"['miller', 'kushner', 'muslim', 'ban', 'state', 'spencer', 'richard', 'stephen', 'syria', 'hand', 'befriend', 'architect', 'belarus', 'muslimban', 'bring', 'bannon', 'policy', 'trump', 'descendant', 'duke', 'flee', 'gut', 'immigrant', 'immigration', 'month', 'penniless', 'cheerleader']",2,6,"['miller', 'kushner', 'muslim', 'ban', 'state', 'spencer', 'richard', 'stephen', 'syria', 'hand', 'befriend', 'architect', 'belarus', 'muslimban', 'bring', 'bannon', 'policy', 'trump', 'descendant', 'duke', 'flee', 'gut', 'immigrant', 'immigration', 'month', 'penniless', 'cheerleader']",5,"['muslimban', 'americafirst', 'maga', 'buildthewall_mexicopays', 'bless_americafirst', 'buildthewall', 'not', 'maga_religion', 'fakenews_buildthewall', 'boom', 'piece', 'religion', 'hard_remember']",5,"['muslimban', 'americafirst', 'maga', 'buildthewall_mexicopays', 'bless_americafirst', 'buildthewall', 'not', 'maga_religion', 'fakenews_buildthewall', 'boom', 'piece', 'religion', 'hard_remember']","[212448611, 373564351, 2879832872, 807426867368181760, 831896095764516865]"
3,12,"['hawaii', 'thinker', 'pjnet', 'maga', 'logic', 'flaw', 'american', 'aloha', 'akhbar', 'judge', 'travelban']",3,12,"['hawaii', 'thinker', 'pjnet', 'maga', 'logic', 'flaw', 'american', 'aloha', 'akhbar', 'judge', 'travelban']",8,"['american_thinker', 'logic', 'flaw_aloha', 'american_thinker_maga_pjnet', 'american', 'aloha', 'maga', 'akhbar_logic', 'flaw', 'travelban', 'maga_pjnet', 'akhbar', 'judge', 'thinker', 'hawaii', 'pjnet', 'flaw_aloha_akhbar_logic']",8,"['american_thinker', 'logic', 'flaw_aloha', 'american_thinker_maga_pjnet', 'american', 'aloha', 'maga', 'akhbar_logic', 'flaw', 'travelban', 'maga_pjnet', 'akhbar', 'judge', 'thinker', 'hawaii', 'pjnet', 'flaw_aloha_akhbar_logic']","[96442308, 599445694, 2766345958, 835985752584441856]"
4,14,"['muslimban', 'refugeeban', 'americafirst', 'makeamericasafeagain', 'maga', 'islam', 'muslim', 'buildthewall', 'banislam', 'trump', 'muslims', 'bansharia', 'united', 'patriotsunite', 'states', 'fakenews', 'religion']",4,14,"['muslimban', 'refugeeban', 'americafirst', 'makeamericasafeagain', 'maga', 'islam', 'muslim', 'buildthewall', 'banislam', 'trump', 'muslims', 'bansharia', 'united', 'patriotsunite', 'states', 'fakenews', 'religion']",10,"['wall_trend', 'muslimban', 'muslim', 'trump', 'refugeeban', 'retweet', 'trend', 'wall', 'americafirst', 'ban', 'makeamericasafeagain', 'maga', 'islam', 'trumps', 'change', 'banislam', 'buildthewall', 'muslims']",10,"['wall_trend', 'muslimban', 'muslim', 'trump', 'refugeeban', 'retweet', 'trend', 'wall', 'americafirst', 'ban', 'makeamericasafeagain', 'maga', 'islam', 'trumps', 'change', 'banislam', 'buildthewall', 'muslims']","[102862980, 228736760, 411194431, 714927808951283712]"
5,10,"['nobannowall', 'refugee', 'action', 'loud', 'muslimban', 'getonthebus', 'trump', 'people', 'plaza', 'share', 'right', 'time', 'solidarity', 'pond', 'story', 'group', 'nowreading', 'local', 'syrian', 'missile', 'mind', 'policy', 'learn', 'agenda', 'antirefugee', 'call', 'strike', 'congress', 'fight', 'buildthewall', 'defender', 'grow', 'host', 'change', 'human', 'impact']",5,10,"['nobannowall', 'refugee', 'action', 'loud', 'muslimban', 'getonthebus', 'trump', 'people', 'plaza', 'share', 'right', 'time', 'solidarity', 'pond', 'story', 'group', 'nowreading', 'local', 'syrian', 'missile', 'mind', 'policy', 'learn', 'agenda', 'antirefugee', 'call', 'strike', 'congress', 'fight', 'buildthewall', 'defender', 'grow', 'host', 'change', 'human', 'impact']",7,"['nobannowall', 'refugee', 'action', 'muslimban', 'loud', 'getonthebus', 'trump', 'change', 'human', 'time', 'story', 'grow', 'solidarity', 'impact', 'antirefugee', 'call', 'syrian', 'defender', 'agenda', 'people', 'host', 'learn', 'group', 'right', 'policy', 'pond', 'plaza', 'strike', 'nowreading', 'congress', 'buildthewall', 'missile', 'mind', 'local', 'fight', 'share']",7,"['nobannowall', 'refugee', 'action', 'muslimban', 'loud', 'getonthebus', 'trump', 'change', 'human', 'time', 'story', 'grow', 'solidarity', 'impact', 'antirefugee', 'call', 'syrian', 'defender', 'agenda', 'people', 'host', 'learn', 'group', 'right', 'policy', 'pond', 'plaza', 'strike', 'nowreading', 'congress', 'buildthewall', 'missile', 'mind', 'local', 'fight', 'share']","[16153562, 800326378998464512, 802842865072279552, 824708872447393793]"
6,0,"['muslimban', 'theresistance', 'nobannowall', 'resist', 'marinelepen', 'defend', 'bordersclose', 'culture', 'civilization', 'happyeaster', 'riseup', 'refugeeswelcome', 'value', 'remember']",6,0,"['muslimban', 'theresistance', 'nobannowall', 'resist', 'marinelepen', 'defend', 'bordersclose', 'culture', 'civilization', 'happyeaster', 'riseup', 'refugeeswelcome', 'value', 'remember']",0,"['theresistance_resist', 'theresistance', 'nobannowall', 'resist', 'riseup', 'neveragain']",0,"['theresistance_resist', 'theresistance', 'nobannowall', 'resist', 'riseup', 'neveragain']","[3060398056, 823171093854912500, 823171093854912516]"
7,11,"['refugeeswelcome', 'olvidad', 'visibilizando', 'migrantenkriminalitat', 'merkelmuslim']",7,11,"['refugeeswelcome', 'olvidad', 'visibilizando', 'migrantenkriminalitat', 'merkelmuslim']",14,"['refugeeswelcome', 'croydon', 'attack', 'reker', 'solidarity', 'vigil', 'community', 'ahmed', 'bring', 'people', 'refugee', 'protest', 'dunkirk', 'destruction', 'kurdish', 'camp']",14,"['refugeeswelcome', 'croydon', 'attack', 'reker', 'solidarity', 'vigil', 'community', 'ahmed', 'bring', 'people', 'refugee', 'protest', 'dunkirk', 'destruction', 'kurdish', 'camp']","[28091881, 627227732, 2320715580]"
8,0,"['muslimban', 'theresistance', 'nobannowall', 'resist', 'marinelepen', 'defend', 'bordersclose', 'culture', 'civilization', 'happyeaster', 'riseup', 'refugeeswelcome', 'value', 'remember']",8,0,"['muslimban', 'theresistance', 'nobannowall', 'resist', 'marinelepen', 'defend', 'bordersclose', 'culture', 'civilization', 'happyeaster', 'riseup', 'refugeeswelcome', 'value', 'remember']",4,"['muslimban', 'defend', 'marinelepen', 'defend_culture', 'bordersclose', 'happyeaster_bordersclose', 'rise_defend', 'culture', 'civilization', 'happyeaster', 'marinelepen_remember', 'time_european', 'value_civilization', 'value', 'refugeeswelcome', 'defend_culture_value_civilization', 'remember', 'happyeaster_joyeusespaque', 'rise', 'sweden']",4,"['muslimban', 'defend', 'marinelepen', 'defend_culture', 'bordersclose', 'happyeaster_bordersclose', 'rise_defend', 'culture', 'civilization', 'happyeaster', 'marinelepen_remember', 'time_european', 'value_civilization', 'value', 'refugeeswelcome', 'defend_culture_value_civilization', 'remember', 'happyeaster_joyeusespaque', 'rise', 'sweden']","[2563237269, 3319287287, 3407135421, 3438614458, 3622251449, 3874676487, 4223251997, 705814755869470720, 718117017153306625, 838379187366952961, 838379187366953000, 844879189698326529]"
9,11,"['refugeeswelcome', 'olvidad', 'visibilizando', 'migrantenkriminalitat', 'merkelmuslim']",9,11,"['refugeeswelcome', 'olvidad', 'visibilizando', 'migrantenkriminalitat', 'merkelmuslim']",11,['ban'],11,['ban'],"[228188191, 379996628, 431128298, 948698282, 1530857760, 2932096685, 3372763595, 710380480756125696]"
