absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
0,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",0,11,"['trump', 'ban', 'resist', 'muslimban', 'immigration', 'trumpleak', 'travel', 'theresistance', 'trumps', 'order', 'nobannowall', 'impeachtrump', 'president', 'resistance', 'stopsession', 'muslim']",6,"['ban', 'travel', 'trump', 'trumps', 'immigration', 'president', 'order', 'executive_order', 'sally_yate', 'attorney_general', 'protest']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[29442313, 773971417234890753, 777158905688449028]"
4,7,"['short', 'muslimban', 'goal', 'leave', 'fake', 'bannon', 'guy', 'protester', 'tear', 'flashpoint', 'yrs', 'division', 'good', 'member', 'unconstitutional', 'draft', 'purpose']",69,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",14,"['ban', 'muslim', 'americans_support', 'travel', 'trumps', 'do_not', 'support', 'americans']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[15837659, 36538396, 58808888, 130617778, 134971995, 269348217, 1888341020, 2148326197, 2844693572, 2980312240, 768140059497365504, 803053854325542912]"
10,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",6,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",11,"['muslimban', 'studentban', 'nobannowall', 'notbanstudentvisa', 'worth_worldwide', 'iranian_student', 'notbanstudentvisa_studentban', 'studentban_plz', 'beautiful_mind', 'letthemin_respect', 'studentban_notbanstudentvisa', 'letthemin', 'notaterrorist_studentban', 'support', 'respect']",4,"['muslimban', 'ban', 'travel', 'muslim', 'trump', 'maga', 'migrant_europe', 'americans_support', 'trumps', 'foxnew_breitbart', 'maga_vet', 'refugee', 'support', 'americans']","[61374952, 1374510187, 1471218535, 1489867182, 2903325074, 4272870988, 756828470550859776, 766701225291251712, 790284844739629056, 812435736146350081, 824069683607310337]"
14,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",11,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[121817564, 2396355364, 3391168425]"
15,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",13,3,"['muslim', 'seek', 'heartland', 'refuge', 'america', 'ban', 'ohio', 'trump', 'stab', 'state']",0,"['muslimban', 'migrant_europe', 'trump', 'foxnew_breitbart', 'maga_vet', 'europe']",4,"['muslimban', 'ban', 'travel', 'muslim', 'trump', 'maga', 'migrant_europe', 'americans_support', 'trumps', 'foxnew_breitbart', 'maga_vet', 'refugee', 'support', 'americans']","[18082945, 279425578, 414638265, 616260000, 1568656350, 2927222132, 3033123912, 3740303121, 4794182534]"
16,13,"['muslimban', 'canada', 'breitbart', 'lax', 'january', 'muslim', 'faith', 'target', 'people', 'ambulance', 'passport', 'break', 'lawyer', 'record', 'degree']",21,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",0,"['muslimban', 'migrant_europe', 'trump', 'foxnew_breitbart', 'maga_vet', 'europe']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[21159536, 24443584, 50636372, 62065766, 130139655, 150708880, 293750409, 293795578, 342034927, 414783141, 473630309, 554223879, 729264218, 848478188, 851376192, 1101298442, 1322873018, 1336902607, 1489325107, 1626294277, 2555055486, 2734172982, 2804138785, 2914421262, 2930948224, 2960637632, 3426731170, 709492573421764608, 757659763928866816, 806394851822551040, 817142310588841984, 825010900277014528, 825159194751881216]"
17,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",14,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",12,"['ban', 'donald', 'trump', 'trumps', 'immigration', 'stock', 'travel', 'fire', 'dissent_memo', 'fire_attorney', 'muslim']",10,"['ban', 'trump', 'vote_deliver', 'big_majority', 'sign_petition', 'vote', 'immigration', 'terror_attack', 'silent_majority', 'americans']","[35228624, 90182089, 107794703, 132549988, 452995365, 458341983, 473519962, 573953385, 592877327, 857892534, 1083749497, 1125937411, 1300838640, 1725725448, 2225747204, 2858541770, 4105901787]"
18,7,"['short', 'muslimban', 'goal', 'leave', 'fake', 'bannon', 'guy', 'protester', 'tear', 'flashpoint', 'yrs', 'division', 'good', 'member', 'unconstitutional', 'draft', 'purpose']",15,3,"['muslim', 'seek', 'heartland', 'refuge', 'america', 'ban', 'ohio', 'trump', 'stab', 'state']",10,"['leave', 'national_security', 'good_righteous', 'protester_unknowingly', 'serve_bannon', 'align_perceive', 'leave_dog', 'flashpoint_leave', 'flashpoint', 'division_protester', 'bannon_choose', 'action_infer', 'purpose_suit']",9,"['america_heartland', 'muslim', 'heartland', 'refuge', 'seek', 'america', 'seek_refuge', 'seek_refuge_america_heartland', 'start_help', 'heartland_kill', 'ban', 'ohio', 'trump', 'stab', 'ohio_state', 'father_seek', 'refugee_admission', 'state']","[19915594, 47379354, 47866792, 164037186, 174771928, 355028519, 1952510090, 2256033301, 2790977262, 2866639611, 822479723959844865]"
19,12,"['end', 'columbus', 'crowd', 'statehouse', 'ppl', 'themarchcontinue', 'atlanta', 'pepperspray', 'chant', 'medical', 'demilitarizecpd', 'pepperspraye', 'marching']",16,6,"['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'student', 'pressure', 'weak', 'iranian', 'letthemin', 'plz', 'york']",12,"['ban', 'donald', 'trump', 'trumps', 'immigration', 'stock', 'travel', 'fire', 'dissent_memo', 'fire_attorney', 'muslim']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[65698096, 239664892, 1566650000, 818655030970617857]"
20,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",59,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[22799750, 824270573203292200, 826037707084279809]"
