absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
2,5,"['maga', 'travelban', 'trump', 'lgbt', 'islam', 'muslimban', 'tcot', 'marinelepen', 'judge', 'vote', 'read', 'france', 'americafirst']",48,6,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme']",1,"['maga_pjnet', 'flaw_aloha', 'aloha', 'logic', 'pjnet', 'american']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[50644095, 96442308, 2188423838, 835985752584441856]"
3,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",11,13,"['muslimban', 'trump', 'resist', 'trumprussia', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'break', 'trumps', 'april']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",13,"['muslimban', 'muslim', 'country', 'ban', 'ben_carson']","[29442313, 216776631, 485958942]"
8,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",13,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[6392972, 18910693, 49047411, 110396781, 937875895, 2495386515, 2806325167, 2930574973, 3713258776, 783134630669148161]"
10,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",15,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[478855762, 2903166449, 4040707780, 799609981121138690]"
14,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",17,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[629565974, 1146358172, 2922305530, 821136198798340097]"
16,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",46,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[17642747, 2617327641, 839574081854931000]"
17,2,"['ban', 'muslim', 'muslimban', 'trump', 'court']",32,2,"['muslimban', 'muslim', 'country', 'ban', 'trump', 'muslims', 'islam', 'america', 'terrorist', 'travel']",13,"['muslimban', 'muslim', 'country', 'ben_carson', 'islam']",2,"['travelban', 'maga', 'refugee', 'tcot', 'muslimban', 'islam', 'americafirst']","[3089155533, 704041886089084900, 823677081422688256]"
19,6,"['ban', 'trump', 'travel', 'muslimban', 'muslim', 'lose', 'country', 'trumps', 'terror', 'terrorist']",18,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",4,"['ban', 'trump', 'travel', 'muslimban', 'lose', 'muslim', 'terror_threat', 'trumps', 'country', 'exclude_country']",10,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[15155181, 22165261, 32298202, 152570227]"
20,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",20,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[420075825, 2799538857, 797080559839309800, 834520434318139400]"
22,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",22,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[608471241, 2984330300, 775199416470818817]"
23,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",95,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[2785269257, 4717892303, 764322548754550784, 818589875851051008]"
24,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",23,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[68714859, 301692966, 1626294277, 2555055486]"
25,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",24,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[156370763, 368288476, 3045306697]"
26,11,"['nobannowall', 'muslimban', 'bigotry', 'noban', 'riseup', 'remember', 'immigration', 'immigrant', 'stand']",25,0,"['ban', 'trump', 'muslimban', 'muslim', 'nobannowall', 'travel', 'refugee']",9,"['muslimban', 'ban', 'muslim', 'trump', 'president']",12,"['muslimban', 'ban', 'muslim', 'nobannowall', 'trump', 'travelban', 'travel', 'judge_robart', 'executive_order', 'judge']","[23113271, 26642006, 542367047, 2409763922]"
27,3,"['ban', 'travel', 'trump', 'order', 'revise', 'judge', 'trumps', 'hawaii', 'president', 'block', 'immigration']",26,14,"['ban', 'travel', 'trump', 'revise', 'order', 'judge', 'president', 'hawaii', 'trumps', 'block']",7,"['ban', 'travel', 'trump', 'executive_order', 'order', 'radio_live', 'revise', 'judge', 'federal_judge', 'hawaii', 'trumps', 'stock_money', 'block', 'president', 'immigration']",0,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'block', 'immigration', 'sign']","[1664919534, 2767680652, 3314524607]"
