absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
0,14,"['theresistance', 'nobannowall', 'ban', 'travel', 'trump', 'america', 'plane', 'university', 'attorney', 'general', 'institution', 'harm', 'medical', 'tourism', 'job']",0,14,"['theresistance', 'nobannowall', 'ban', 'travel', 'trump', 'america', 'plane', 'university', 'attorney', 'general', 'institution', 'harm', 'medical', 'tourism', 'job']",10,"['theresistance', 'nobannowall', 'ban', 'travel', 'destroy_america', 'trump', 'tourism_attorney', 'daysonly_thing', 'plane', 'passenger_plane', 'restore_make', 'job_return', 'america']",10,"['theresistance', 'nobannowall', 'ban', 'travel', 'destroy_america', 'trump', 'tourism_attorney', 'daysonly_thing', 'plane', 'passenger_plane', 'restore_make', 'job_return', 'america']","[25073877, 110720467, 756964296, 2267784241, 4850395699, 827579095731040256]","theresistance,nobannowall,ban,travel,trump,america,plane,university,attorney,general,institution,harm,medical,tourism,job,destroy_america,tourism_attorney,daysonly_thing,passenger_plane,restore_make,job_return","theresistance,nobannowall,ban,travel,trump,america,plane,university,attorney,general,institution,harm,medical,tourism,job,destroy_america,tourism_attorney,daysonly_thing,passenger_plane,restore_make,job_return","theresistance,nobannowall,ban,travel,trump,america,plane,university,attorney,general,institution,harm,medical,tourism,job,destroy_america,tourism_attorney,daysonly_thing,passenger_plane,restore_make,job_return","{'Travel Ban and Its Impact': ['theresistance', 'nobannowall', 'ban', 'travel', 'trump', 'america', 'plane', 'university', 'attorney', 'general', 'institution', 'harm', 'medical', 'tourism', 'job', 'destroy_america', 'tourism_attorney', 'daysonly_thing', 'passenger_plane', 'restore_make', 'job_return']}",Travel Ban and Its Impact,"{'Travel Ban and Its Impact': ['theresistance', 'nobannowall', 'ban', 'travel', 'trump', 'america', 'plane', 'university', 'attorney', 'general', 'institution', 'harm', 'medical', 'tourism', 'job', 'destroy_america', 'tourism_attorney', 'daysonly_thing', 'passenger_plane', 'restore_make', 'job_return']}",Travel Ban and Its Impact,"{'Travel Ban and Its Impact': 'theresistance, nobannowall, ban, travel, trump, america, plane, university, attorney, general, institution, harm, medical, tourism, job, destroy_america, tourism_attorney, daysonly_thing, passenger_plane, restore_make, job_return'}",Travel Ban and Its Impact
1,9,"['nobannowall', 'trump', 'refugee', 'action', 'muslimban', 'loud', 'getonthebus']",1,9,"['nobannowall', 'trump', 'refugee', 'action', 'muslimban', 'loud', 'getonthebus']",8,"['refugeeswelcome', 'visibilizando', 'olvidad', 'olvidad_refugeeswelcome', 'refugeeswelcome_visibilizando', 'visibilizando_olvidad', 'wall_trend', 'visibilizando_olvidad_refugeeswelcome_visibilizando', 'olvidad_refugeeswelcome_visibilizando_olvidad', 'refugeeswelcome_visibilizando_olvidad_refugeeswelcome', 'trend', 'wall', 'retweet', 'trumps', 'deserve', 'public', 'border', 'office', 'lawsuit', 'file', 'patrol']",8,"['refugeeswelcome', 'visibilizando', 'olvidad', 'olvidad_refugeeswelcome', 'refugeeswelcome_visibilizando', 'visibilizando_olvidad', 'wall_trend', 'visibilizando_olvidad_refugeeswelcome_visibilizando', 'olvidad_refugeeswelcome_visibilizando_olvidad', 'refugeeswelcome_visibilizando_olvidad_refugeeswelcome', 'trend', 'wall', 'retweet', 'trumps', 'deserve', 'public', 'border', 'office', 'lawsuit', 'file', 'patrol']","[13393052, 247036558, 2390007061, 844197011805159424]","nobannowall,trump,refugee,action,muslimban,loud,getonthebus,refugeeswelcome,visibilizando,olvidad,olvidad_refugeeswelcome,refugeeswelcome_visibilizando,visibilizando_olvidad,wall_trend,visibilizando_olvidad_refugeeswelcome_visibilizando,olvidad_refugeeswelcome_visibilizando_olvidad,refugeeswelcome_visibilizando_olvidad_refugeeswelcome,trend,wall,retweet,trumps,deserve,public,border,office,lawsuit,file,patrol","nobannowall,trump,refugee,action,muslimban,loud,getonthebus,refugeeswelcome,visibilizando,olvidad,olvidad_refugeeswelcome,refugeeswelcome_visibilizando,visibilizando_olvidad,wall_trend,visibilizando_olvidad_refugeeswelcome_visibilizando,olvidad_refugeeswelcome_visibilizando_olvidad,refugeeswelcome_visibilizando_olvidad_refugeeswelcome,trend,wall,retweet,trumps,deserve,public,border,office,lawsuit,file,patrol","nobannowall,trump,refugee,action,muslimban,loud,getonthebus,refugeeswelcome,visibilizando,olvidad,olvidad_refugeeswelcome,refugeeswelcome_visibilizando,visibilizando_olvidad,wall_trend,visibilizando_olvidad_refugeeswelcome_visibilizando,olvidad_refugeeswelcome_visibilizando_olvidad,refugeeswelcome_visibilizando_olvidad_refugeeswelcome,trend,wall,retweet,trumps,deserve,public,border,office,lawsuit,file,patrol","{'Protest Against Immigration Policies': 'nobannowall, trump, refugee, action, muslimban, loud, getonthebus, refugeeswelcome, visibilizando, olvidad, olvidad_refugeeswelcome, refugeeswelcome_visibilizando, visibilizando_olvidad, wall_trend, visibilizando_olvidad_refugeeswelcome_visibilizando, olvidad_refugeeswelcome_visibilizando_olvidad, refugeeswelcome_visibilizando_olvidad_refugeeswelcome, trend, wall, retweet, trumps, deserve, public, border, office, lawsuit, file, patrol'}",Protest Against Immigration Policies,"{'Protest Against Immigration Policies': 'nobannowall, trump, refugee, action, muslimban, loud, getonthebus, refugeeswelcome, visibilizando, olvidad, olvidad_refugeeswelcome, refugeeswelcome_visibilizando, visibilizando_olvidad, wall_trend, visibilizando_olvidad_refugeeswelcome_visibilizando, olvidad_refugeeswelcome_visibilizando_olvidad, refugeeswelcome_visibilizando_olvidad_refugeeswelcome, trend, wall, retweet, trumps, deserve, public, border, office, lawsuit, file, patrol'}",Protest Against Immigration Policies,"{'Protest Against Immigration Policies': 'nobannowall, trump, refugee, action, muslimban, loud, getonthebus, refugeeswelcome, visibilizando, olvidad, olvidad_refugeeswelcome, refugeeswelcome_visibilizando, visibilizando_olvidad, wall_trend, visibilizando_olvidad_refugeeswelcome_visibilizando, olvidad_refugeeswelcome_visibilizando_olvidad, refugeeswelcome_visibilizando_olvidad_refugeeswelcome, trend, wall, retweet, trumps, deserve, public, border, office, lawsuit, file, patrol'}",Protest Against Immigration Policies
2,6,"['hawaii', 'travel']",2,6,"['hawaii', 'travel']",1,['muslim'],1,['muslim'],"[2405528898, 2482124280, 2951374858, 3033823332, 3146457774, 3146521423, 4059535993, 4420148892, 4650246133, 696914277752385536, 702369491137781761, 705272801112956928, 707560194671190016, 722696732769918977, 731124569277243393, 734730084444217349, 735349451750002688, 735682785529069568, 735686750211690499, 735768361955524613, 736079136553197570, 736311610977878016, 736533882175029252, 736613891635961856, 742300638667669504, 742641874519756800, 742646000972500992, 743403845145944064, 744518734300078080, 744520628556828676, 749107449269932033, 752054583900327936, 752057369517887488, 753192403188719618, 753209433614872576, 753920039854678016, 755609067934986240, 755616083621457920, 755618679769870336, 757453408315899904, 765096748834361344, 765527352147259392, 771760263515152384, 771761213810184192, 771763221359460352, 777434635739553793, 780682803172118528, 782441976683790338, 797691584116445184, 799267782038814725, 800213506364620800, 804324019881340928, 804709438913384400, 806161431137832960, 806589388058742789, 806594735343288320, 807945947896541184, 808960560733814784, 810138680220352512, 810478155119009792, 811482505438105601, 811494587353006080, 811595468023050240, 811794383955628032, 817281523703484416, 817443857080156161, 817594310476648449, 818376011788206080, 818377058082521090, 818379214034501632, 819131733438251008, 819380199460577282, 820484829837934592, 820487645285453824, 821722497825374208, 823432684831641601, 823436568652353536, 834954638075953152, 844604783940059140, 845928770808791041]","hawaii,travel,muslim","hawaii,travel,muslim","hawaii,travel,muslim","{'Travel and Cultural Exploration': 'hawaii, travel, muslim'}",Travel and Cultural Exploration,"{'Travel and Cultural Exploration': 'hawaii, travel, muslim'}",Travel and Cultural Exploration,"{'Travel and Cultural Exploration': 'hawaii, travel, muslim'}",Travel and Cultural Exploration
3,2,"['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'not', 'religion', 'piece', 'boom', 'remember']",3,2,"['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'not', 'religion', 'piece', 'boom', 'remember']",0,"['immigration_inmigracion', 'notmore_niunomas', 'heretostay_uniteblue', 'immigration']",0,"['immigration_inmigracion', 'notmore_niunomas', 'heretostay_uniteblue', 'immigration']","[212448611, 373564351, 2879832872, 807426867368181760, 831896095764516865]","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,immigration_inmigracion,notmore_niunomas,heretostay_uniteblue,immigration","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,immigration_inmigracion,notmore_niunomas,heretostay_uniteblue,immigration","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,immigration_inmigracion,notmore_niunomas,heretostay_uniteblue,immigration","{'US Immigration Policy': 'muslimban, americafirst, maga, buildthewall, bordersclose, immigration_inmigracion, immigration', 'Nationalism and Border Security': 'marinelepen, defend, buildthewall, bordersclose', 'Social Movements and Resistance': 'notmore_niunomas, heretostay_uniteblue', 'Cultural and Religious Tensions': 'not, religion, piece, boom, remember'}",US Immigration Policy.Nationalism and Border Security.Social Movements and Resistance.Cultural and Religious Tensions,"{'Nationalism and Immigration Policies': 'muslimban, americafirst, maga, marinelepen, defend, buildthewall, bordersclose, immigration_inmigracion, immigration', 'Anti-Immigration Sentiment': 'not, religion, piece, boom, remember, notmore_niunomas', 'Pro-Immigration Advocacy': 'heretostay_uniteblue'}",Nationalism and Immigration Policies.Anti-Immigration Sentiment.Pro-Immigration Advocacy,"{'US Immigration Policy': 'muslimban, americafirst, maga, buildthewall, bordersclose, immigration_inmigracion, immigration', 'Nationalism and Border Security': 'americafirst, maga, marinelepen, defend, buildthewall, bordersclose', 'Social Movements and Resistance': 'notmore_niunomas, heretostay_uniteblue', 'Religious and Cultural Tensions': 'muslimban, not, religion, piece, boom, remember'}",US Immigration Policy.Nationalism and Border Security.Social Movements and Resistance.Religious and Cultural Tensions
4,0,"['trump', 'refugeeban', 'refugee', 'muslimban']",4,0,"['trump', 'refugeeban', 'refugee', 'muslimban']",5,"['judge', 'hawaii']",5,"['judge', 'hawaii']","[96442308, 599445694, 2766345958, 835985752584441856]","trump,refugeeban,refugee,muslimban,judge,hawaii","trump,refugeeban,refugee,muslimban,judge,hawaii","trump,refugeeban,refugee,muslimban,judge,hawaii","{'US Immigration Policy Controversy': 'trump, refugeeban, refugee, muslimban, judge, hawaii'}",US Immigration Policy Controversy,"{'US Immigration Policy Controversy': 'trump, refugeeban, refugee, muslimban, judge, hawaii'}",US Immigration Policy Controversy,"{'US Immigration Policy Controversy': 'trump, refugeeban, refugee, muslimban, judge, hawaii'}",US Immigration Policy Controversy
5,2,"['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'not', 'religion', 'piece', 'boom', 'remember']",5,2,"['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'not', 'religion', 'piece', 'boom', 'remember']",4,"['muslimban', 'refugeeban', 'americafirst', 'makeamericasafeagain', 'maga', 'muslim', 'islam', 'banislam', 'buildthewall', 'muslims', 'trump']",4,"['muslimban', 'refugeeban', 'americafirst', 'makeamericasafeagain', 'maga', 'muslim', 'islam', 'banislam', 'buildthewall', 'muslims', 'trump']","[102862980, 228736760, 411194431, 714927808951283712]","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,refugeeban,makeamericasafeagain,muslim,islam,banislam,muslims,trump","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,refugeeban,makeamericasafeagain,muslim,islam,banislam,muslims,trump","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,refugeeban,makeamericasafeagain,muslim,islam,banislam,muslims,trump","{'US Immigration and National Security Policies': 'muslimban, americafirst, maga, defend, buildthewall, bordersclose, refugeeban, makeamericasafeagain, trump', 'Anti-Islam Sentiment': 'not, religion, piece, boom, remember, muslim, islam, banislam, muslims', 'Right-Wing Political Figures and Movements': 'marinelepen, trump'}",US Immigration and National Security Policies.Anti-Islam Sentiment.Right-Wing Political Figures and Movements,"{'US Immigration and National Security Policies': 'muslimban, americafirst, maga, defend, buildthewall, bordersclose, refugeeban, makeamericasafeagain, trump', 'Anti-Islam Sentiment': 'not, religion, piece, boom, remember, muslim, islam, banislam, muslims', 'Right-Wing Political Figures and Movements': 'marinelepen, trump'}",US Immigration and National Security Policies.Anti-Islam Sentiment.Right-Wing Political Figures and Movements,"{'US Immigration and National Security Policies': 'muslimban, americafirst, maga, defend, buildthewall, bordersclose, refugeeban, makeamericasafeagain, trump', 'Anti-Islam Sentiment': 'not, religion, piece, boom, remember, muslim, islam, banislam, muslims', 'Right-Wing Political Figures and Movements': 'marinelepen, trump'}",US Immigration and National Security Policies.Anti-Islam Sentiment.Right-Wing Political Figures and Movements
6,9,"['nobannowall', 'trump', 'refugee', 'action', 'muslimban', 'loud', 'getonthebus']",6,9,"['nobannowall', 'trump', 'refugee', 'action', 'muslimban', 'loud', 'getonthebus']",13,"['muslimban', 'nobannowall', 'theresistance_impeachtrump', 'impeachtrump', 'trump', 'refugee', 'people', 'solidarity', 'terrorism', 'action', 'fact', 'community', 'getonthebus', 'loud', 'change', 'time', 'impact']",13,"['muslimban', 'nobannowall', 'theresistance_impeachtrump', 'impeachtrump', 'trump', 'refugee', 'people', 'solidarity', 'terrorism', 'action', 'fact', 'community', 'getonthebus', 'loud', 'change', 'time', 'impact']","[16153562, 800326378998464512, 802842865072279552, 824708872447393793]","nobannowall,trump,refugee,action,muslimban,loud,getonthebus,theresistance_impeachtrump,impeachtrump,people,solidarity,terrorism,fact,community,change,time,impact","nobannowall,trump,refugee,action,muslimban,loud,getonthebus,theresistance_impeachtrump,impeachtrump,people,solidarity,terrorism,fact,community,change,time,impact","nobannowall,trump,refugee,action,muslimban,loud,getonthebus,theresistance_impeachtrump,impeachtrump,people,solidarity,terrorism,fact,community,change,time,impact","{'Political Activism Against Trump Administration': ['nobannowall', 'trump', 'muslimban', 'theresistance_impeachtrump', 'impeachtrump', 'getonthebus'], 'Solidarity and Community Action': ['refugee', 'action', 'people', 'solidarity', 'community'], 'Social Change and Impact': ['change', 'time', 'impact'], 'Addressing Terrorism and Facts': ['terrorism', 'fact']}",Political Activism Against Trump Administration.Solidarity and Community Action.Social Change and Impact.Addressing Terrorism and Facts,"{'Political Activism Against Trump Administration': 'nobannowall, trump, muslimban, theresistance_impeachtrump, impeachtrump, getonthebus, action, solidarity, community, change', 'Refugee and Immigration Issues': 'refugee, nobannowall, muslimban, people, solidarity', 'Social and Political Change': 'action, change, impact, community, solidarity, time', 'Counter-Terrorism and Security': 'terrorism, fact'}",Political Activism Against Trump Administration.Refugee and Immigration Issues.Social and Political Change.Counter-Terrorism and Security,"{'Political Activism Against Trump Administration': 'nobannowall, trump, muslimban, theresistance_impeachtrump, impeachtrump, getonthebus', 'Solidarity and Community Action': 'refugee, action, people, solidarity, community, change', 'Response to Terrorism and Misinformation': 'terrorism, fact, impact, time, loud'}",Political Activism Against Trump Administration.Solidarity and Community Action.Response to Terrorism and Misinformation
7,2,"['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'not', 'religion', 'piece', 'boom', 'remember']",7,2,"['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'not', 'religion', 'piece', 'boom', 'remember']",6,"['muslimban', 'defend', 'marinelepen', 'defend_culture', 'bordersclose', 'happyeaster_bordersclose', 'rise_defend', 'culture', 'civilization', 'happyeaster', 'marinelepen_remember', 'time_european', 'value_civilization', 'refugeeswelcome', 'value', 'defend_culture_value_civilization', 'remember', 'happyeaster_joyeusespaque', 'rise', 'sweden']",6,"['muslimban', 'defend', 'marinelepen', 'defend_culture', 'bordersclose', 'happyeaster_bordersclose', 'rise_defend', 'culture', 'civilization', 'happyeaster', 'marinelepen_remember', 'time_european', 'value_civilization', 'refugeeswelcome', 'value', 'defend_culture_value_civilization', 'remember', 'happyeaster_joyeusespaque', 'rise', 'sweden']","[2563237269, 3319287287, 3407135421, 3438614458, 3622251449, 3874676487, 4223251997, 705814755869470720, 718117017153306625, 838379187366952961, 838379187366953000, 844879189698326529]","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,defend_culture,happyeaster_bordersclose,rise_defend,culture,civilization,happyeaster,marinelepen_remember,time_european,value_civilization,refugeeswelcome,value,defend_culture_value_civilization,happyeaster_joyeusespaque,rise,sweden","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,defend_culture,happyeaster_bordersclose,rise_defend,culture,civilization,happyeaster,marinelepen_remember,time_european,value_civilization,refugeeswelcome,value,defend_culture_value_civilization,happyeaster_joyeusespaque,rise,sweden","muslimban,americafirst,maga,marinelepen,defend,buildthewall,bordersclose,not,religion,piece,boom,remember,defend_culture,happyeaster_bordersclose,rise_defend,culture,civilization,happyeaster,marinelepen_remember,time_european,value_civilization,refugeeswelcome,value,defend_culture_value_civilization,happyeaster_joyeusespaque,rise,sweden","{'Nationalism and Immigration': ['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'defend_culture', 'rise_defend', 'culture', 'civilization', 'refugeeswelcome', 'defend_culture_value_civilization', 'rise', 'sweden'], 'Cultural and Religious Identity': ['not', 'religion', 'piece', 'boom', 'remember', 'happyeaster_bordersclose', 'happyeaster', 'marinelepen_remember', 'time_european', 'value_civilization', 'happyeaster_joyeusespaque', 'value']}",Nationalism and Immigration.Cultural and Religious Identity,"{'Nationalism and Immigration': ['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'not', 'refugeeswelcome', 'sweden'], 'Cultural Identity and Defense': ['religion', 'piece', 'boom', 'remember', 'defend_culture', 'rise_defend', 'culture', 'civilization', 'time_european', 'value_civilization', 'defend_culture_value_civilization'], 'Holidays and Cultural Celebrations': ['happyeaster', 'happyeaster_bordersclose', 'happyeaster_joyeusespaque']}",Nationalism and Immigration.Cultural Identity and Defense.Holidays and Cultural Celebrations,"{'Nationalism and Immigration': ['muslimban', 'americafirst', 'maga', 'marinelepen', 'defend', 'buildthewall', 'bordersclose', 'not', 'refugeeswelcome', 'sweden'], 'Cultural Identity and Defense': ['religion', 'piece', 'boom', 'remember', 'defend_culture', 'happyeaster_bordersclose', 'rise_defend', 'culture', 'civilization', 'happyeaster', 'marinelepen_remember', 'time_european', 'value_civilization', 'defend_culture_value_civilization', 'happyeaster_joyeusespaque', 'rise', 'value']}",Nationalism and Immigration.Cultural Identity and Defense
8,8,"['theresistance', 'nobannowall', 'resist', 'riseup', 'neveragain', 'nodapl', 'retweet']",8,8,"['theresistance', 'nobannowall', 'resist', 'riseup', 'neveragain', 'nodapl', 'retweet']",9,"['theresistance_resist', 'theresistance', 'nobannowall', 'resist', 'riseup', 'neveragain']",9,"['theresistance_resist', 'theresistance', 'nobannowall', 'resist', 'riseup', 'neveragain']","[3060398056, 823171093854912500, 823171093854912516]","theresistance,nobannowall,resist,riseup,neveragain,nodapl,retweet,theresistance_resist","theresistance,nobannowall,resist,riseup,neveragain,nodapl,retweet,theresistance_resist","theresistance,nobannowall,resist,riseup,neveragain,nodapl,retweet,theresistance_resist","{'Social and Political Activism': 'theresistance, nobannowall, resist, riseup, neveragain, nodapl, retweet, theresistance_resist'}",Social and Political Activism,"{'Social and Political Activism': 'theresistance, nobannowall, resist, riseup, neveragain, nodapl, retweet, theresistance_resist'}",Social and Political Activism,"{'Social and Political Activism': 'theresistance, nobannowall, resist, riseup, neveragain, nodapl, retweet, theresistance_resist'}",Social and Political Activism
9,12,"['singapore', 'refugeeswelcome', 'great', 'travel', 'goodwill', 'ban', 'croydon', 'attack', 'reker', 'solidarity', 'vigil', 'bring', 'community', 'ahmed']",9,12,"['singapore', 'refugeeswelcome', 'great', 'travel', 'goodwill', 'ban', 'croydon', 'attack', 'reker', 'solidarity', 'vigil', 'bring', 'community', 'ahmed']",3,"['muslimban', 'americafirst', 'maga', 'islamistheproblem', 'travelban', 'stopmakingexcusesforislam', 'buildthewall_mexicopays']",3,"['muslimban', 'americafirst', 'maga', 'islamistheproblem', 'travelban', 'stopmakingexcusesforislam', 'buildthewall_mexicopays']","[28091881, 627227732, 2320715580]","singapore,refugeeswelcome,great,travel,goodwill,ban,croydon,attack,reker,solidarity,vigil,bring,community,ahmed,muslimban,americafirst,maga,islamistheproblem,travelban,stopmakingexcusesforislam,buildthewall_mexicopays","singapore,refugeeswelcome,great,travel,goodwill,ban,croydon,attack,reker,solidarity,vigil,bring,community,ahmed,muslimban,americafirst,maga,islamistheproblem,travelban,stopmakingexcusesforislam,buildthewall_mexicopays","singapore,refugeeswelcome,great,travel,goodwill,ban,croydon,attack,reker,solidarity,vigil,bring,community,ahmed,muslimban,americafirst,maga,islamistheproblem,travelban,stopmakingexcusesforislam,buildthewall_mexicopays","{'Travel and Immigration Policies': 'singapore, travel, travelban, muslimban, ban', 'Community and Solidarity': 'refugeeswelcome, goodwill, solidarity, vigil, community, bring', 'Political and Social Tensions': 'croydon, attack, reker, ahmed, america first, maga, islamistheproblem, stopmakingexcusesforislam, buildthewall_mexicopays'}",Travel and Immigration Policies.Community and Solidarity.Political and Social Tensions,"{'Travel and Immigration': 'singapore, travel, travelban, muslimban, refugeeswelcome, ban', 'Community and Solidarity': 'goodwill, solidarity, vigil, bring, community', 'Political and Social Tensions': 'croydon, attack, reker, ahmed, america first, maga, islamistheproblem, stopmakingexcusesforislam, buildthewall_mexicopays'}",Travel and Immigration.Community and Solidarity.Political and Social Tensions,"{'Travel and Immigration': 'singapore, travel, travelban, muslimban, refugeeswelcome, ban', 'Community and Solidarity': 'goodwill, solidarity, vigil, bring, community', 'Political and Social Tensions': 'croydon, attack, reker, ahmed, america first, maga, islamistheproblem, stopmakingexcusesforislam, buildthewall_mexicopays'}",Travel and Immigration.Community and Solidarity.Political and Social Tensions
