absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
8,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",184,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[15878034, 23835021, 33806698, 37332725, 63043668, 71574379, 81245362, 84128678, 84174028, 84498743, 85583894, 102651488, 138331342, 140171995, 187067097, 222122852, 228238479, 257824868, 266437259, 303081181, 318785653, 343473755, 362694376, 385192652, 458959009, 481809371, 559173692, 889068301, 963437460, 1015899374, 1035919266, 1199866860, 1251644070, 1343828558, 1663608572, 1710505440, 1921509044, 1969254588, 2163430424, 2235714604, 2335844449, 2410055346, 2552422374, 2582403084, 2674518384, 2832321597, 2941316370, 3241190188, 3302725796, 3306101853, 3432973581, 3461696174, 3700366215, 4158636562, 4356951381, 4358918712, 4464513445, 710123993299357696, 745999425386885121, 748599497975021569, 749323790916657152, 753322826678013953, 806250338323939328, 809924490297745408, 815445236784787456]","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress,president,order,court,security,trumps","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress","trump,ban,president,order,court,people,security,muslim,muslimban,refugee,trumps","{'US Immigration Policy and Protests': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress, president, order, court, security, trumps'}",US Immigration Policy and Protests,"{'US Immigration Policy and Public Response': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress'}",US Immigration Policy and Public Response,"{'US Immigration Policy': 'trump, ban, president, order, court, people, security, muslim, muslimban, refugee, trumps'}",US Immigration Policy
14,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",25,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[47813521, 1057356487, 784785269262344192]","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress,president,order,court,security,trumps","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress","trump,ban,president,order,court,people,security,muslim,muslimban,refugee,trumps","{'US Immigration Policy and Protests': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress, president, order, court, security, trumps'}",US Immigration Policy and Protests,"{'US Immigration Policy and Public Response': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress'}",US Immigration Policy and Public Response,"{'US Immigration Policy': 'trump, ban, president, order, court, people, security, muslim, muslimban, refugee, trumps'}",US Immigration Policy
16,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",26,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[16399993, 93069110, 137751142, 2421708751]","ban,travel,trump,immigration,trumps,president,order,court,judge,appeal,donald,federal,block,rule,legal,white_house,homeland_security,muslim,muslimban,refugee","ban,travel,trump,immigration,trumps,president,order,court,judge,appeal,donald,federal,block,rule,legal,white_house,homeland_security","ban,travel,trump,immigration,trumps,order,court,judge,president,appeal,donald,federal,muslim,muslimban,refugee","{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house, homeland_security, muslim, muslimban, refugee'}",US Immigration Policy and Legal Challenges,"{'US Immigration Policy': 'ban, travel, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house, homeland_security', 'Trump Administration Legal Challenges': 'trump, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house'}",US Immigration Policy.Trump Administration Legal Challenges,"{'US Immigration Policy': 'ban, travel, trump, immigration, trumps, order, court, judge, president, appeal, donald, federal, muslim, muslimban, refugee'}",US Immigration Policy
18,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",29,7,"['muslimban', 'muslim', 'maga', 'travelban']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[50769180, 525652918, 2192113540, 830118236406632448]","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress,maga,travelban,trumps,order","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress","muslimban,muslim,maga,travelban,ban,trump,refugee,trumps,order","{'US Immigration Policy': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress, maga, travelban, trumps, order'}",US Immigration Policy,"{'US Immigration Policy and Public Response': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress'}",US Immigration Policy and Public Response,"{'US Immigration Policy': 'muslimban, travelban, ban, refugee, order', 'Trump Administration': 'trump, trumps, maga', 'Impact on Muslim Community': 'muslimban, muslim'}",US Immigration Policy.Trump Administration.Impact on Muslim Community
19,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",30,2,"['nobannowall', 'muslimban', 'tntweeter', 'uslatino', 'heretostay', 'latism', 'inmigracion', 'notmore', 'immigration', 'refugeeswelcome', 'nomuslimban', 'refugee', 'niunomas', 'timeisnow', 'stand']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",13,"['nobannowall', 'muslimban', 'heretostay', 'nomuslimban', 'refugeeswelcome', 'refugee', 'protest']","[780479026343194624, 800942537083068400, 806877805157949440, 820850838671237120]","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress,tntweeter,uslatino,heretostay,latism,inmigracion,notmore,immigration,nomuslimban,niunomas,timeisnow,stand","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress","nobannowall,muslimban,tntweeter,uslatino,heretostay,latism,inmigracion,notmore,immigration,refugeeswelcome,nomuslimban,refugee,niunomas,timeisnow,stand,protest","{'Immigration and Refugee Policy Protest': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress, nomuslimban', 'Latino and Immigrant Rights Movement': 'uslatino, heretostay, latism, inmigracion, notmore, immigration, niunomas, timeisnow, stand'}",Immigration and Refugee Policy Protest.Latino and Immigrant Rights Movement,"{'US Immigration Policy and Public Response': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress'}",US Immigration Policy and Public Response,"{'Immigration and Refugee Advocacy': ['nobannowall', 'muslimban', 'uslatino', 'heretostay', 'latism', 'inmigracion', 'immigration', 'refugeeswelcome', 'nomuslimban', 'refugee', 'niunomas', 'timeisnow', 'stand', 'protest'], 'Social Media Activism': ['tntweeter', 'notmore']}",Immigration and Refugee Advocacy.Social Media Activism
21,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",47,4,"['resist', 'theresistance', 'dworkinreport', 'trump', 'nodapl', 'impeachtrump', 'flynn', 'fireflynn']",13,"['theresistance', 'resist', 'nobannowall', 'impeachtrump', 'impeachtrump_impeachtrumpnow', 'resistance', 'trump']",7,"['muslimban', 'resist', 'theresistance', 'dworkinreport', 'nodapl', 'impeachtrump']","[24470087, 24920077, 126364026, 215002582, 253677176, 3372940330, 776751034098126848, 792457353723469824, 808827316470185989, 823803346884640768]","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,theresistance,resist,impeachtrump,impeachtrump_impeachtrumpnow,resistance,dworkinreport,nodapl,flynn,fireflynn","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,theresistance,resist,impeachtrump,impeachtrump_impeachtrumpnow,resistance","resist,theresistance,dworkinreport,trump,nodapl,impeachtrump,flynn,fireflynn,muslimban","{'US Immigration Policy and Protests': ['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support', 'theresistance', 'resist', 'impeachtrump', 'impeachtrump_impeachtrumpnow', 'resistance'], 'Political Scandals and Resignations': ['flynn', 'fireflynn', 'dworkinreport'], 'Environmental and Indigenous Rights': ['nodapl']}",US Immigration Policy and Protests.Political Scandals and Resignations.Environmental and Indigenous Rights,"{'US Immigration Policy and Public Response': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, theresistance, resist, impeachtrump, impeachtrump_impeachtrumpnow, resistance'}",US Immigration Policy and Public Response,"{'Political Resistance and Activism': 'resist, theresistance, nodapl, impeachtrump', 'Trump Administration Controversies': 'dworkinreport, trump, flynn, fireflynn, muslimban'}",Political Resistance and Activism.Trump Administration Controversies
25,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",32,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",11,"['ban', 'travel', 'order', 'immigration', 'trump', 'president', 'court', 'trumps', 'federal', 'judge', 'executive', 'muslim', 'halt']",6,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'federal', 'block', 'rule', 'white_house', 'halt', 'justice_department']","[790399874, 4510755552, 742743988269092864]","ban,travel,trump,immigration,trumps,president,order,court,judge,appeal,donald,federal,block,rule,legal,executive,muslim,halt,white_house,justice_department","ban,travel,trump,immigration,trumps,president,order,court,judge,appeal,donald,federal,block,rule,legal,executive,muslim,halt","ban,travel,trump,immigration,trumps,order,court,judge,president,appeal,donald,federal,block,rule,white_house,halt,justice_department","{'US Travel Ban Controversy': 'ban, travel, trump, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, executive, muslim, halt, white_house, justice_department'}",US Travel Ban Controversy,"{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, executive, muslim, halt'}",US Immigration Policy and Legal Challenges,"{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, immigration, trumps, order, court, judge, president, appeal, donald, federal, block, rule, white_house, halt, justice_department'}",US Immigration Policy and Legal Challenges
26,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",33,7,"['muslimban', 'muslim', 'maga', 'travelban']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[16873455, 4844679426, 787211898278191104]","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress,maga,travelban,trumps,order","muslimban,nobannowall,trump,muslim,ban,refugee,refugeeswelcome,protest,law,people,support,congress","muslimban,muslim,maga,travelban,ban,trump,refugee,trumps,order","{'US Immigration Policy and Protests': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress, maga, travelban, trumps, order'}",US Immigration Policy and Protests,"{'US Immigration Policy and Public Response': 'muslimban, nobannowall, trump, muslim, ban, refugee, refugeeswelcome, protest, law, people, support, congress'}",US Immigration Policy and Public Response,"{'US Immigration Policy': 'muslimban, travelban, ban, refugee, order', 'Trump Administration': 'trump, trumps, maga', 'Impact on Muslim Community': 'muslimban, muslim'}",US Immigration Policy.Trump Administration.Impact on Muslim Community
27,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",36,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",6,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'federal', 'block', 'rule', 'white_house', 'halt', 'justice_department']","[40813666, 287360112, 358155712, 380782294, 1017515348, 1270793143, 2308939452, 2345391823, 2826946435, 2827072824, 2834618630, 3143003737, 3306341327, 3328277663, 3404806331, 4493348365, 4605204442]","ban,travel,trump,immigration,trumps,president,order,court,judge,appeal,donald,federal,block,rule,legal,white_house,homeland_security,halt,justice_department","ban,travel,trump,immigration,trumps,president,order,court,judge,appeal,donald,federal,block,rule,legal,white_house,homeland_security","ban,travel,trump,immigration,trumps,order,court,judge,president,appeal,donald,federal,block,rule,white_house,halt,justice_department","{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house, homeland_security, halt, justice_department'}",US Immigration Policy and Legal Challenges,"{'US Immigration Policy': 'ban, travel, immigration, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house, homeland_security', 'Trump Administration Legal Challenges': 'trump, trumps, president, order, court, judge, appeal, donald, federal, block, rule, legal, white_house'}",US Immigration Policy.Trump Administration Legal Challenges,"{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, immigration, trumps, order, court, judge, president, appeal, donald, federal, block, rule, white_house, halt, justice_department'}",US Immigration Policy and Legal Challenges
30,10,"['order', 'immigration', 'ban', 'travel', 'judge', 'executive', 'halt', 'country', 'muslim', 'poll', 'tweet', 'marine', 'iraq', 'comment']",143,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",10,"['trumprussia', 'trumpleak', 'trump', 'tie', 'flynn', 'ban', 'break', 'travel', 'read']","[15576928, 21792170, 108146158, 108288348]","order,immigration,ban,travel,judge,executive,halt,country,muslim,poll,tweet,marine,iraq,comment,muslimban,nobannowall,trump,refugee,refugeeswelcome,protest,congress,president,court,people,security,trumprussia,trumpleak,tie,flynn,break,read","order,immigration,ban,travel,judge,executive,halt,country,muslim,poll,tweet,marine,iraq,comment,muslimban,nobannowall,trump,refugee,refugeeswelcome,protest,congress","trump,ban,president,order,court,people,security,trumprussia,trumpleak,tie,flynn,break,travel,read","{'Immigration and Travel Ban': ['order', 'immigration', 'ban', 'travel', 'judge', 'executive', 'halt', 'country', 'muslim', 'muslimban', 'nobannowall', 'trump', 'refugee', 'refugeeswelcome', 'protest', 'congress', 'president', 'court', 'people', 'security'], 'Trump Administration Controversies': ['trumprussia', 'trumpleak', 'tie', 'flynn', 'break', 'read'], 'Public and Political Reactions': ['poll', 'tweet', 'comment', 'protest']}",Immigration and Travel Ban.Trump Administration Controversies.Public and Political Reactions,"{'US Immigration Policy and Controversy': 'order, immigration, ban, travel, judge, executive, halt, country, muslim, poll, tweet, marine, iraq, comment, muslimban, nobannowall, trump, refugee, refugeeswelcome, protest, congress'}",US Immigration Policy and Controversy,"{'US Presidential Actions': 'trump, president, order, ban, court, security, travel', 'Trump-Russia Controversy': 'trumprussia, trumpleak, tie, flynn, break', 'Public Reaction and Media': 'people, read'}",US Presidential Actions.Trump-Russia Controversy.Public Reaction and Media
