absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
2,7,"['ban', 'muslim', 'trumps', 'travel', 'trump', 'country', 'support', 'immigration', 'americans', 'muslimban', 'not']",0,10,"['ban', 'trump', 'muslim', 'travel', 'trumps', 'immigration', 'order', 'president', 'america', 'seek', 'heartland', 'refuge', 'country', 'protest', 'refugee']",7,"['ban', 'trump', 'travel', 'trumps', 'immigration', 'donald', 'order', 'muslim', 'president', 'fire', 'executive_order']",5,"['ban', 'trump', 'muslim', 'immigration', 'trumps', 'travel', 'order', 'executive_order', 'seek', 'protest', 'country']","[29442313, 773971417234890753, 777158905688449028]","ban,muslim,trumps,travel,trump,country,support,immigration,americans,muslimban,not,donald,order,president,fire,executive_order,america,seek,heartland,refuge,protest,refugee","ban,muslim,trumps,travel,trump,country,support,immigration,americans,muslimban,not,donald,order,president,fire,executive_order","ban,trump,muslim,travel,trumps,immigration,order,president,america,seek,heartland,refuge,country,protest,refugee,executive_order","{""Theme: Trump's Travel Ban"": 'ban, muslim, trumps, travel, trump, country, support, immigration, americans, muslimban, not, donald, order, president, executive_order, america, protest, refugee'}",Theme: Trump's Travel Ban,"{'US Immigration Policy': 'ban, muslim, trumps, travel, trump, country, support, immigration, americans, muslimban, not, donald, order, president, fire, executive_order'}",US Immigration Policy,"{'US Immigration Policy': 'ban, trump, muslim, travel, trumps, immigration, order, president, america, executive_order', 'Public Reaction to Immigration Policies': 'seek, heartland, refuge, country, protest, refugee'}",US Immigration Policy.Public Reaction to Immigration Policies
8,7,"['ban', 'muslim', 'trumps', 'travel', 'trump', 'country', 'support', 'immigration', 'americans', 'muslimban', 'not']",68,10,"['ban', 'trump', 'muslim', 'travel', 'trumps', 'immigration', 'order', 'president', 'america', 'seek', 'heartland', 'refuge', 'country', 'protest', 'refugee']",14,"['muslimban', 'resist', 'trumpleak', 'podcast']",5,"['ban', 'trump', 'muslim', 'immigration', 'trumps', 'travel', 'order', 'executive_order', 'seek', 'protest', 'country']","[15837659, 36538396, 58808888, 130617778, 134971995, 269348217, 1888341020, 2148326197, 2844693572, 2980312240, 768140059497365504, 803053854325542912, 814845550872948736]","ban,muslim,trumps,travel,trump,country,support,immigration,americans,muslimban,not,resist,trumpleak,podcast,order,president,america,seek,heartland,refuge,protest,refugee,executive_order","ban,muslim,trumps,travel,trump,country,support,immigration,americans,muslimban,not,resist,trumpleak,podcast","ban,trump,muslim,travel,trumps,immigration,order,president,america,seek,heartland,refuge,country,protest,refugee,executive_order","{'US Immigration Policy': 'ban, muslim, trumps, travel, trump, country, support, immigration, americans, muslimban, not, resist, trumpleak, podcast, order, president, america, seek, heartland, refuge, protest, refugee, executive_order'}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'muslim', 'trumps', 'travel', 'trump', 'country', 'support', 'immigration', 'americans', 'muslimban'], 'Political Opposition': ['not', 'resist', 'trumpleak', 'podcast']}",US Immigration Policy.Political Opposition,"{'US Immigration Policy': 'ban, trump, muslim, travel, trumps, immigration, order, president, america, executive_order', 'Public Reaction to Immigration Policies': 'seek, heartland, refuge, country, protest, refugee'}",US Immigration Policy.Public Reaction to Immigration Policies
9,7,"['ban', 'muslim', 'trumps', 'travel', 'trump', 'country', 'support', 'immigration', 'americans', 'muslimban', 'not']",14,13,"['ban', 'trump', 'donald', 'trumps', 'immigration', 'travel', 'fire', 'muslim', 'attorney', 'general', 'state', 'cnn']",7,"['ban', 'trump', 'travel', 'trumps', 'immigration', 'donald', 'order', 'muslim', 'president', 'fire', 'executive_order']",8,"['ban', 'donald', 'trump', 'travel', 'trumps', 'immigration', 'fire', 'dissent_memo', 'fire_attorney', 'muslim', 'barack_obama', 'state_department']","[15464697, 17938103, 38971431, 47475039, 259321327, 302630755, 396450510, 3257958218, 3536755277, 707432781492699137, 824473943931293700]","ban,muslim,trumps,travel,trump,country,support,immigration,americans,muslimban,not,donald,order,president,fire,executive_order,attorney,general,state,cnn,dissent_memo,fire_attorney,barack_obama,state_department","ban,muslim,trumps,travel,trump,country,support,immigration,americans,muslimban,not,donald,order,president,fire,executive_order","ban,trump,donald,trumps,immigration,travel,fire,muslim,attorney,general,state,cnn,dissent_memo,fire_attorney,barack_obama,state_department","{'US Immigration Policy and Controversy': 'ban, muslim, trumps, travel, trump, country, support, immigration, americans, muslimban, not, donald, order, president, executive_order, attorney, general, state, cnn, dissent_memo, fire_attorney, barack_obama, state_department', 'Trump Administration and Legal Challenges': 'trump, executive_order, attorney, general, fire, fire_attorney, dissent_memo, state, state_department, cnn'}",US Immigration Policy and Controversy.Trump Administration and Legal Challenges,"{'US Immigration Policy': 'ban, muslim, trumps, travel, trump, country, support, immigration, americans, muslimban, not, donald, order, president, fire, executive_order'}",US Immigration Policy,"{'US Immigration Policy': ['ban', 'immigration', 'travel', 'muslim', 'dissent_memo'], 'Trump Administration Actions': ['trump', 'donald', 'trumps', 'fire', 'fire_attorney'], 'US Government and Legal Affairs': ['attorney', 'general', 'state', 'state_department', 'fire_attorney'], 'Media Coverage': ['cnn'], 'Obama Administration': ['barack_obama']}",US Immigration Policy.Trump Administration Actions.US Government and Legal Affairs.Media Coverage.Obama Administration
13,11,"['muslimban', 'maga', 'trump', 'refugee', 'worth']",7,5,"['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'support', 'respect']",1,"['muslimban', 'nobannowall', 'muslim', 'trump', 'ban', 'executive_order', 'protest', 'people', 'refugee', 'student', 'iranian']",4,"['muslimban', 'racist', 'standuptotrump', 'london', 'value']","[61374952, 1374510187, 1471218535, 1489867182, 2903325074, 4272870988, 756828470550859776, 766701225291251712, 790284844739629056, 812435736146350081, 824069683607310337]","muslimban,maga,trump,refugee,worth,nobannowall,muslim,ban,executive_order,protest,people,student,iranian,studentban,notbanstudentvisa,support,respect,racist,standuptotrump,london,value","muslimban,maga,trump,refugee,worth,nobannowall,muslim,ban,executive_order,protest,people,student,iranian","muslimban,nobannowall,studentban,notbanstudentvisa,support,respect,racist,standuptotrump,london,value","{'US Immigration Policies': 'muslimban, maga, trump, refugee, nobannowall, muslim, ban, executive_order, protest, student, iranian, studentban, notbanstudentvisa, support, respect, racist, standuptotrump', 'International Reactions': 'people, london, value, worth'}",US Immigration Policies.International Reactions,"{'US Immigration Policy and Protests': 'muslimban, maga, trump, refugee, nobannowall, muslim, ban, executive_order, protest, iranian', 'Social and Political Impact': 'worth, people, student'}",US Immigration Policy and Protests.Social and Political Impact,"{'Protest Against Immigration Policies': 'muslimban, nobannowall, studentban, notbanstudentvisa, standuptotrump', 'Advocacy for Inclusivity and Respect': 'support, respect, racist, value', 'Location of Activism': 'london'}",Protest Against Immigration Policies.Advocacy for Inclusivity and Respect.Location of Activism
16,2,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'president', 'order', 'protest', 'muslim', 'defend']",9,10,"['ban', 'trump', 'muslim', 'travel', 'trumps', 'immigration', 'order', 'president', 'america', 'seek', 'heartland', 'refuge', 'country', 'protest', 'refugee']",7,"['ban', 'trump', 'travel', 'trumps', 'immigration', 'donald', 'order', 'muslim', 'president', 'fire', 'executive_order']",5,"['ban', 'trump', 'muslim', 'immigration', 'trumps', 'travel', 'order', 'executive_order', 'seek', 'protest', 'country']","[121817564, 2396355364, 3391168425]","ban,trump,travel,immigration,trumps,president,order,protest,muslim,defend,donald,fire,executive_order,america,seek,heartland,refuge,country,refugee","ban,trump,travel,immigration,trumps,president,order,protest,muslim,defend,donald,fire,executive_order","ban,trump,muslim,travel,trumps,immigration,order,president,america,seek,heartland,refuge,country,protest,refugee,executive_order","{'US Immigration Policy': 'ban, travel, immigration, trumps, president, order, executive_order, america, country', 'Trump Administration': 'trump, donald, president, executive_order', 'Protests and Public Response': 'protest, defend, fire, seek, heartland', 'Muslim and Refugee Issues': 'muslim, refuge, refugee'}",US Immigration Policy.Trump Administration.Protests and Public Response.Muslim and Refugee Issues,"{'US Immigration Policy and Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, executive_order', 'Public Reaction to Government Actions': 'protest, defend, fire'}",US Immigration Policy and Controversy.Public Reaction to Government Actions,"{'US Immigration Policy': 'ban, trump, muslim, travel, trumps, immigration, order, president, america, executive_order', 'Public Reaction to Immigration Policies': 'seek, heartland, refuge, country, protest, refugee'}",US Immigration Policy.Public Reaction to Immigration Policies
17,2,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'president', 'order', 'protest', 'muslim', 'defend']",11,13,"['ban', 'trump', 'donald', 'trumps', 'immigration', 'travel', 'fire', 'muslim', 'attorney', 'general', 'state', 'cnn']",7,"['ban', 'trump', 'travel', 'trumps', 'immigration', 'donald', 'order', 'muslim', 'president', 'fire', 'executive_order']",8,"['ban', 'donald', 'trump', 'travel', 'trumps', 'immigration', 'fire', 'dissent_memo', 'fire_attorney', 'muslim', 'barack_obama', 'state_department']","[18082945, 279425578, 414638265, 616260000, 1568656350, 2927222132, 3033123912, 3740303121, 4794182534]","ban,trump,travel,immigration,trumps,president,order,protest,muslim,defend,donald,fire,executive_order,attorney,general,state,cnn,dissent_memo,fire_attorney,barack_obama,state_department","ban,trump,travel,immigration,trumps,president,order,protest,muslim,defend,donald,fire,executive_order","ban,trump,donald,trumps,immigration,travel,fire,muslim,attorney,general,state,cnn,dissent_memo,fire_attorney,barack_obama,state_department","{'US Immigration Policy and Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, executive_order, attorney, general, state, cnn, dissent_memo, fire_attorney, barack_obama, state_department', 'Political Actions and Reactions': 'fire, protest, defend, donald, executive_order, attorney, general, cnn, dissent_memo, fire_attorney, barack_obama, state_department'}",US Immigration Policy and Controversy.Political Actions and Reactions,"{'US Immigration Policy and Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, executive_order', 'Public Reaction to Government Actions': 'protest, defend, fire'}",US Immigration Policy and Controversy.Public Reaction to Government Actions,"{'US Immigration Policy': ['ban', 'immigration', 'travel', 'muslim', 'dissent_memo'], 'Trump Administration Actions': ['trump', 'donald', 'trumps', 'fire', 'fire_attorney'], 'US Government and Legal Affairs': ['attorney', 'general', 'state', 'state_department', 'fire_attorney'], 'Media Coverage': ['cnn'], 'Obama Administration': ['barack_obama']}",US Immigration Policy.Trump Administration Actions.US Government and Legal Affairs.Media Coverage.Obama Administration
18,9,"['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'student', 'muslim', 'people', 'iranian', 'letthemin']",12,4,"['muslimban', 'canada', 'trump', 'europe', 'lax']",12,"['migrant_europe', 'foxnew_breitbart', 'maga_vet', 'muslimban', 'canada', 'breitbart']",0,"['muslimban', 'faith_passport', 'leave_lax', 'target_base', 'lax', 'case_wonder', 'protest_exist', 'faith', 'target', 'arrive_lax', 'ask_religious', 'retainer_suppose', 'chase_lawyer', 'ambulance', 'lax_smh', 'people', 'passport', 'break']","[21159536, 24443584, 50636372, 62065766, 130139655, 150708880, 293750409, 293795578, 342034927, 414783141, 473630309, 554223879, 729264218, 848478188, 851376192, 1101298442, 1322873018, 1336902607, 1489325107, 1626294277, 2555055486, 2734172982, 2804138785, 2914421262, 2930948224, 2960637632, 3426731170, 709492573421764608, 757659763928866816, 806394851822551040, 817142310588841984, 825010900277014528, 825159194751881216]","muslimban,nobannowall,studentban,notbanstudentvisa,student,muslim,people,iranian,letthemin,migrant_europe,foxnew_breitbart,maga_vet,canada,breitbart,trump,europe,lax,faith_passport,leave_lax,target_base,case_wonder,protest_exist,faith,target,arrive_lax,ask_religious,retainer_suppose,chase_lawyer,ambulance,lax_smh,passport,break","muslimban,nobannowall,studentban,notbanstudentvisa,student,muslim,people,iranian,letthemin,migrant_europe,foxnew_breitbart,maga_vet,canada,breitbart","muslimban,canada,trump,europe,lax,faith_passport,leave_lax,target_base,case_wonder,protest_exist,faith,target,arrive_lax,ask_religious,retainer_suppose,chase_lawyer,ambulance,lax_smh,people,passport,break","{'Travel Ban and Immigration Protests': ['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'student', 'muslim', 'people', 'iranian', 'letthemin', 'migrant_europe', 'protest_exist', 'faith_passport', 'ask_religious', 'passport', 'leave_lax', 'arrive_lax', 'lax', 'lax_smh', 'target_base', 'target', 'case_wonder', 'retainer_suppose', 'chase_lawyer', 'ambulance', 'break'], 'Media and Political Influence': ['foxnew_breitbart', 'maga_vet', 'breitbart', 'trump', 'canada', 'europe']}",Travel Ban and Immigration Protests.Media and Political Influence,"{'Travel and Immigration Restrictions': ['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'letthemin', 'migrant_europe'], 'Impact on Specific Groups': ['student', 'muslim', 'iranian', 'people'], 'Media and Political Influence': ['foxnew_breitbart', 'maga_vet', 'breitbart'], 'International Relations': ['canada']}",Travel and Immigration Restrictions.Impact on Specific Groups.Media and Political Influence.International Relations,"{'Travel Restrictions and Immigration': 'muslimban, canada, trump, europe, lax, faith_passport, leave_lax, target_base, case_wonder, protest_exist, faith, target, arrive_lax, ask_religious, retainer_suppose, chase_lawyer, ambulance, lax_smh, people, passport, break'}",Travel Restrictions and Immigration
19,2,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'president', 'order', 'protest', 'muslim', 'defend']",64,10,"['ban', 'trump', 'muslim', 'travel', 'trumps', 'immigration', 'order', 'president', 'america', 'seek', 'heartland', 'refuge', 'country', 'protest', 'refugee']",7,"['ban', 'trump', 'travel', 'trumps', 'immigration', 'donald', 'order', 'muslim', 'president', 'fire', 'executive_order']",5,"['ban', 'trump', 'muslim', 'immigration', 'trumps', 'travel', 'order', 'executive_order', 'seek', 'protest', 'country']","[972651, 16815644, 18993395, 25053299, 36327407, 162437804, 193904555, 800676192, 2622227999, 821504432374501376]","ban,trump,travel,immigration,trumps,president,order,protest,muslim,defend,donald,fire,executive_order,america,seek,heartland,refuge,country,refugee","ban,trump,travel,immigration,trumps,president,order,protest,muslim,defend,donald,fire,executive_order","ban,trump,muslim,travel,trumps,immigration,order,president,america,seek,heartland,refuge,country,protest,refugee,executive_order","{'US Immigration Policy and Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, fire, executive_order, america, seek, heartland, refuge, country, refugee'}",US Immigration Policy and Controversy,"{'US Immigration Policy and Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, executive_order', 'Public Reaction to Government Actions': 'protest, defend, fire'}",US Immigration Policy and Controversy.Public Reaction to Government Actions,"{'US Immigration Policy': 'ban, trump, muslim, travel, trumps, immigration, order, president, america, executive_order', 'Public Reaction to Immigration Policies': 'seek, heartland, refuge, country, protest, refugee'}",US Immigration Policy.Public Reaction to Immigration Policies
20,2,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'president', 'order', 'protest', 'muslim', 'defend']",13,13,"['ban', 'trump', 'donald', 'trumps', 'immigration', 'travel', 'fire', 'muslim', 'attorney', 'general', 'state', 'cnn']",7,"['ban', 'trump', 'travel', 'trumps', 'immigration', 'donald', 'order', 'muslim', 'president', 'fire', 'executive_order']",8,"['ban', 'donald', 'trump', 'travel', 'trumps', 'immigration', 'fire', 'dissent_memo', 'fire_attorney', 'muslim', 'barack_obama', 'state_department']","[35228624, 90182089, 107794703, 132549988, 452995365, 458341983, 473519962, 573953385, 592877327, 857892534, 1083749497, 1125937411, 1300838640, 1725725448, 2225747204, 2858541770, 4105901787]","ban,trump,travel,immigration,trumps,president,order,protest,muslim,defend,donald,fire,executive_order,attorney,general,state,cnn,dissent_memo,fire_attorney,barack_obama,state_department","ban,trump,travel,immigration,trumps,president,order,protest,muslim,defend,donald,fire,executive_order","ban,trump,donald,trumps,immigration,travel,fire,muslim,attorney,general,state,cnn,dissent_memo,fire_attorney,barack_obama,state_department","{'US Immigration Policy Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, executive_order, attorney, general, state, cnn, dissent_memo, fire_attorney, barack_obama, state_department'}",US Immigration Policy Controversy,"{'US Immigration Policy and Controversy': 'ban, trump, travel, immigration, trumps, president, order, protest, muslim, defend, donald, executive_order', 'Public Reaction to Government Actions': 'protest, defend, fire'}",US Immigration Policy and Controversy.Public Reaction to Government Actions,"{'US Immigration Policy': ['ban', 'immigration', 'travel', 'muslim', 'dissent_memo'], 'Trump Administration Actions': ['trump', 'donald', 'trumps', 'fire', 'fire_attorney'], 'US Government and Legal Affairs': ['attorney', 'general', 'state', 'state_department', 'fire_attorney'], 'Media Coverage': ['cnn'], 'Obama Administration': ['barack_obama']}",US Immigration Policy.Trump Administration Actions.US Government and Legal Affairs.Media Coverage.Obama Administration
22,9,"['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'student', 'muslim', 'people', 'iranian', 'letthemin']",15,1,"['iranian', 'crowd', 'themarchcontinue', 'atlanta', 'chant']",1,"['muslimban', 'nobannowall', 'muslim', 'trump', 'ban', 'executive_order', 'protest', 'people', 'refugee', 'student', 'iranian']",7,"['theresistance_alternativefact', 'ban', 'executive_order', 'muslimban', 'vote', 'alternativefact', 'powerful_message']","[65698096, 239664892, 1566650000, 818655030970617857]","muslimban,nobannowall,studentban,notbanstudentvisa,student,muslim,people,iranian,letthemin,trump,ban,executive_order,protest,refugee,crowd,themarchcontinue,atlanta,chant,theresistance_alternativefact,vote,alternativefact,powerful_message","muslimban,nobannowall,studentban,notbanstudentvisa,student,muslim,people,iranian,letthemin,trump,ban,executive_order,protest,refugee","iranian,crowd,themarchcontinue,atlanta,chant,theresistance_alternativefact,ban,executive_order,muslimban,vote,alternativefact,powerful_message","{'Travel Ban Protests': 'muslimban, nobannowall, studentban, notbanstudentvisa, student, muslim, people, iranian, letthemin, trump, ban, executive_order, protest, refugee, crowd, themarchcontinue, atlanta, chant, theresistance_alternativefact, vote, alternativefact, powerful_message'}",Travel Ban Protests,"{'Travel and Immigration Restrictions': 'muslimban, nobannowall, studentban, notbanstudentvisa, student, muslim, people, iranian, letthemin, trump, ban, executive_order, protest, refugee'}",Travel and Immigration Restrictions,"{'Protest Against Executive Order': 'iranian, crowd, themarchcontinue, atlanta, chant, theresistance_alternativefact, ban, executive_order, muslimban, vote, alternativefact, powerful_message'}",Protest Against Executive Order
