absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
0,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",2,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[522537060, 716418247579549696, 733246533156655100, 764950182572142593, 770839424766804000]","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,executive_order,federal_judge,executive,muslim","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,executive_order,federal_judge,executive","ban,travel,trump,order,judge,revise,hawaii,president,trumps,block,executive_order,federal_judge,muslim,immigration","{'Travel Ban Controversy': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, executive_order, federal_judge, executive, muslim'}",Travel Ban Controversy,"{'Travel Ban and Legal Challenges': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, executive_order, federal_judge, executive'}",Travel Ban and Legal Challenges,"{'US Immigration Policy': 'ban, travel, trump, order, judge, revise, hawaii, president, trumps, block, executive_order, federal_judge, muslim, immigration'}",US Immigration Policy
3,4,"['ban', 'trump', 'muslimban', 'travel', 'muslim', 'trumps', 'country', 'lose', 'total', 'judge']",11,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",0,"['ban', 'trump', 'muslimban', 'travel', 'lose', 'muslim', 'trumps', 'country', 'terror_threat', 'exclude_country']",6,"['radio_live', 'stock_money', 'blackoutday']","[29442313, 216776631, 485958942]","ban,trump,muslimban,travel,muslim,trumps,country,lose,total,judge,terror_threat,exclude_country,order,revise,hawaii,president,block,radio_live,stock_money,blackoutday","ban,trump,muslimban,travel,muslim,trumps,country,lose,total,judge,terror_threat,exclude_country","ban,travel,trump,order,judge,revise,hawaii,president,trumps,block,radio_live,stock_money,blackoutday","{'US Travel Ban': 'ban, trump, muslimban, travel, muslim, trumps, country, exclude_country, order, revise, hawaii, president, block, judge', 'Legal and Political Reactions': 'lose, total, judge, block, hawaii', 'Media and Public Response': 'radio_live, blackoutday', 'Economic Impact': 'stock_money', 'Security Concerns': 'terror_threat'}",US Travel Ban.Legal and Political Reactions.Media and Public Response.Economic Impact.Security Concerns,"{'Travel Ban Controversy': 'ban, trump, muslimban, travel, muslim, trumps, country, judge, terror_threat, exclude_country', 'Legal and Judicial Actions': 'judge, lose, total'}",Travel Ban Controversy.Legal and Judicial Actions,"{'US Travel Ban Controversy': 'ban, travel, trump, order, judge, revise, hawaii, president, trumps, block', 'Media and Economic Events': 'radio_live, stock_money, blackoutday'}",US Travel Ban Controversy.Media and Economic Events
5,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",9,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",9,"['ban', 'travel', 'trump', 'muslim']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[6392972, 18910693, 49047411, 110396781, 937875895, 2495386515, 2806325167, 2930574973, 3713258776, 783134630669148161]","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,muslim,executive_order,federal_judge","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,muslim","ban,travel,trump,order,judge,revise,hawaii,president,trumps,block,executive_order,federal_judge,muslim,immigration","{'Travel Ban Controversy': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, muslim, executive_order, federal_judge'}",Travel Ban Controversy,"{'US Immigration Policy Controversy': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, muslim'}",US Immigration Policy Controversy,"{'US Immigration Policy': 'ban, travel, trump, order, judge, revise, hawaii, president, trumps, block, executive_order, federal_judge, muslim, immigration'}",US Immigration Policy
6,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",12,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[478855762, 2903166449, 4040707780, 799609981121138690]","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,executive_order,federal_judge,executive,muslim","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,executive_order,federal_judge,executive","ban,travel,trump,order,judge,revise,hawaii,president,trumps,block,executive_order,federal_judge,muslim,immigration","{'Travel Ban Controversy': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, executive_order, federal_judge, executive, muslim'}",Travel Ban Controversy,"{'Travel Ban and Legal Challenges': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, executive_order, federal_judge, executive'}",Travel Ban and Legal Challenges,"{'US Immigration Policy': 'ban, travel, trump, order, judge, revise, hawaii, president, trumps, block, executive_order, federal_judge, muslim, immigration'}",US Immigration Policy
14,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",14,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",9,"['ban', 'travel', 'trump', 'muslim']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[629565974, 1146358172, 2922305530, 821136198798340097]","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,muslim,executive_order,federal_judge","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,muslim","ban,travel,trump,order,judge,revise,hawaii,president,trumps,block,executive_order,federal_judge,muslim,immigration","{'US Immigration Policy': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, muslim, executive_order, federal_judge'}",US Immigration Policy,"{'US Immigration Policy Controversy': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, muslim'}",US Immigration Policy Controversy,"{'US Immigration Policy': 'ban, travel, trump, order, judge, revise, hawaii, president, trumps, block, executive_order, federal_judge, muslim, immigration'}",US Immigration Policy
16,4,"['ban', 'trump', 'muslimban', 'travel', 'muslim', 'trumps', 'country', 'lose', 'total', 'judge']",46,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[17642747, 2617327641, 839574081854931000]","ban,trump,muslimban,travel,muslim,trumps,country,lose,total,judge,executive_order,order,revise,federal_judge,president,hawaii,block,executive,immigration","ban,trump,muslimban,travel,muslim,trumps,country,lose,total,judge,executive_order,order,revise,federal_judge,president,hawaii,block,executive","ban,travel,trump,order,judge,revise,hawaii,president,trumps,block,executive_order,federal_judge,muslim,immigration","{'US Immigration Policy': 'ban, muslimban, travel, muslim, country, immigration', 'Trump Administration Actions': 'trump, trumps, executive_order, order, executive, president', 'Legal Challenges to Executive Orders': 'judge, federal_judge, block, hawaii, revise, lose, total'}",US Immigration Policy.Trump Administration Actions.Legal Challenges to Executive Orders,"{'Travel Ban Controversy': 'ban, trump, muslimban, travel, muslim, trumps, country, executive_order, order, revise, president', 'Legal Challenges to Executive Orders': 'lose, total, judge, federal_judge, hawaii, block, executive'}",Travel Ban Controversy.Legal Challenges to Executive Orders,"{'US Immigration Policy': 'ban, travel, trump, order, judge, revise, hawaii, president, trumps, block, executive_order, federal_judge, muslim, immigration'}",US Immigration Policy
18,3,"['muslimban', 'muslim', 'ban', 'travelban', 'maga', 'trump', 'country', 'travel', 'judge', 'offend', 'leave', 'obama', 'america']",17,8,"['travelban', 'maga', 'muslimban', 'trump', 'pvv', 'tcot', 'islam', 'refugee', 'refugeeswelcome', 'bordersclose', 'read', 'marinelepen', 'vote', 'france']",11,"['refugeeswelcome', 'travelban', 'maga', 'muslimban', 'tcot', 'pvv', 'islam', 'stopislamofobia', 'bordersclose']",10,"['muslimban', 'muslim', 'ban', 'country', 'trump']","[3089155533, 704041886089084900, 823677081422688256]","muslimban,muslim,ban,travelban,maga,trump,country,travel,judge,offend,leave,obama,america,refugeeswelcome,tcot,pvv,islam,stopislamofobia,bordersclose,refugee,read,marinelepen,vote,france","muslimban,muslim,ban,travelban,maga,trump,country,travel,judge,offend,leave,obama,america,refugeeswelcome,tcot,pvv,islam,stopislamofobia,bordersclose","travelban,maga,muslimban,trump,pvv,tcot,islam,refugee,refugeeswelcome,bordersclose,read,marinelepen,vote,france,muslim,ban,country","{'US Travel Ban Controversy': 'muslimban, muslim, ban, travelban, maga, trump, country, travel, judge, offend, leave, obama, america, refugeeswelcome, tcot', 'European Political Climate and Islamophobia': 'pvv, islam, stopislamofobia, bordersclose, refugee, read, marinelepen, vote, france'}",US Travel Ban Controversy.European Political Climate and Islamophobia,"{'US Immigration Policy and Islamophobia': 'muslimban, muslim, ban, travelban, maga, trump, country, travel, judge, offend, leave, obama, america, refugeeswelcome, tcot, pvv, islam, stopislamofobia, bordersclose'}",US Immigration Policy and Islamophobia,"{'US Immigration Policy': 'travelban, muslimban, trump, maga, bordersclose, ban, country', 'European Right-Wing Politics': 'pvv, marinelepen, france, vote', 'Islam and Refugees': 'islam, refugee, refugeeswelcome, muslim'}",US Immigration Policy.European Right-Wing Politics.Islam and Refugees
20,4,"['ban', 'trump', 'muslimban', 'travel', 'muslim', 'trumps', 'country', 'lose', 'total', 'judge']",18,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",0,"['ban', 'trump', 'muslimban', 'travel', 'lose', 'muslim', 'trumps', 'country', 'terror_threat', 'exclude_country']",4,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[15155181, 22165261, 32298202, 152570227]","ban,trump,muslimban,travel,muslim,trumps,country,lose,total,judge,terror_threat,exclude_country,order,revise,hawaii,president,block,trumprussia,resist,russiagate,theresistance,april_speech,break,todays_hashtag,april","ban,trump,muslimban,travel,muslim,trumps,country,lose,total,judge,terror_threat,exclude_country","ban,travel,trump,order,judge,revise,hawaii,president,trumps,block,muslimban,trumprussia,resist,russiagate,theresistance,muslim,april_speech,break,todays_hashtag,april","{'Travel Ban Controversy': 'ban, trump, muslimban, travel, muslim, trumps, country, lose, total, judge, terror_threat, exclude_country, order, revise, hawaii, president, block', 'Political Resistance and Investigation': 'trumprussia, resist, russiagate, theresistance, april_speech, break, todays_hashtag, april'}",Travel Ban Controversy.Political Resistance and Investigation,"{'Travel Ban Controversy': 'ban, trump, muslimban, travel, muslim, trumps, country, judge, terror_threat, exclude_country', 'Legal and Judicial Actions': 'judge, lose, total'}",Travel Ban Controversy.Legal and Judicial Actions,"{'Travel Ban Controversy': 'ban, travel, trump, order, judge, revise, hawaii, president, trumps, block, muslimban, muslim', 'Political Resistance and Investigation': 'trumprussia, resist, russiagate, theresistance', 'April Events and Discussions': 'april_speech, break, todays_hashtag, april'}",Travel Ban Controversy.Political Resistance and Investigation.April Events and Discussions
23,6,"['ban', 'muslim', 'muslimban', 'trump', 'court', 'aclu']",20,3,"['muslimban', 'nobannowall', 'live', 'true']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",9,"['muslimban', 'nobannowall', 'immigration', 'tntweeter_uslatino']","[420075825, 2799538857, 797080559839309800, 834520434318139400]","ban,muslim,muslimban,trump,court,aclu,travel,executive_order,order,revise,judge,federal_judge,trumps,president,hawaii,block,executive,nobannowall,live,true,immigration,tntweeter_uslatino","ban,muslim,muslimban,trump,court,aclu,travel,executive_order,order,revise,judge,federal_judge,trumps,president,hawaii,block,executive","muslimban,nobannowall,live,true,immigration,tntweeter_uslatino","{'Theme: US Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, aclu, travel, executive_order, order, revise, judge, federal_judge, trumps, president, hawaii, block, executive, nobannowall, immigration'}",Theme: US Travel Ban Controversy,"{'Travel Ban Controversy': 'ban, muslim, muslimban, trump, court, aclu, travel, executive_order, order, revise, judge, federal_judge, trumps, president, hawaii, block, executive'}",Travel Ban Controversy,"{'Immigration and Travel Ban': 'muslimban, nobannowall, immigration', 'Social Media and Activism': 'live, tntweeter_uslatino', 'Truth and Authenticity': 'true'}",Immigration and Travel Ban.Social Media and Activism.Truth and Authenticity
26,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",21,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[2785269257, 4717892303, 764322548754550784, 818589875851051008]","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,executive_order,federal_judge,executive,muslim","ban,travel,trump,order,judge,revise,hawaii,trumps,block,president,immigration,executive_order,federal_judge,executive","ban,travel,trump,order,judge,revise,hawaii,president,trumps,block,executive_order,federal_judge,muslim,immigration","{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, executive_order, federal_judge, executive, muslim'}",US Immigration Policy and Legal Challenges,"{'Travel Ban and Legal Challenges': 'ban, travel, trump, order, judge, revise, hawaii, trumps, block, president, immigration, executive_order, federal_judge, executive'}",Travel Ban and Legal Challenges,"{'US Immigration Policy': 'ban, travel, trump, order, judge, revise, hawaii, president, trumps, block, executive_order, federal_judge, muslim, immigration'}",US Immigration Policy
