absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
3,2,"['nowallnoban', 'support', 'hit']",155,6,"['ban', 'travel', 'trump', 'donald', 'trumps', 'president', 'court', 'judge', 'immigration', 'order', 'appeal', 'attack']",8,"['dts_tcot', 'nowallnoban', 'proudamerican', 'americafirst_proudamerican', 'support', 'america_globalist', 'support_leader', 'trump', 'democrat_nowallnoban', 'americafirst_proudamerican_dts_tcot', 'support_buildthewall', 'tcot_suck', 'pathetic_liberal', 'america', 'leader', 'mypresident_maga', 'mypresident', 'mypresident_maga_americafirst_proudamerican', 'suck']",13,"['ban', 'travel', 'immigration', 'trump', 'order', 'judge', 'court', 'president', 'trumps']","[2885643969, 695739596500557800, 695739596500557825, 803796897718796300]","nowallnoban,support,hit,dts_tcot,proudamerican,americafirst_proudamerican,america_globalist,support_leader,trump,democrat_nowallnoban,americafirst_proudamerican_dts_tcot,support_buildthewall,tcot_suck,pathetic_liberal,america,leader,mypresident_maga,mypresident,mypresident_maga_americafirst_proudamerican,suck,ban,travel,donald,trumps,president,court,judge,immigration,order,appeal,attack","nowallnoban,support,hit,dts_tcot,proudamerican,americafirst_proudamerican,america_globalist,support_leader,trump,democrat_nowallnoban,americafirst_proudamerican_dts_tcot,support_buildthewall,tcot_suck,pathetic_liberal,america,leader,mypresident_maga,mypresident,mypresident_maga_americafirst_proudamerican,suck","ban,travel,trump,donald,trumps,president,court,judge,immigration,order,appeal,attack","{'Political Support and Opposition': ['nowallnoban', 'support', 'hit', 'dts_tcot', 'proudamerican', 'americafirst_proudamerican', 'america_globalist', 'support_leader', 'trump', 'democrat_nowallnoban', 'americafirst_proudamerican_dts_tcot', 'support_buildthewall', 'tcot_suck', 'pathetic_liberal', 'america', 'leader', 'mypresident_maga', 'mypresident', 'mypresident_maga_americafirst_proudamerican', 'suck'], 'Immigration and Travel Ban': ['ban', 'travel', 'donald', 'trumps', 'president', 'court', 'judge', 'immigration', 'order', 'appeal', 'attack']}",Political Support and Opposition.Immigration and Travel Ban,"{'Political Support': ['support', 'support_leader', 'support_buildthewall'], 'American Nationalism': ['proudamerican', 'americafirst_proudamerican', 'america', 'americafirst_proudamerican_dts_tcot', 'mypresident_maga_americafirst_proudamerican'], 'Trump Presidency': ['trump', 'mypresident', 'mypresident_maga'], 'Political Opposition': ['nowallnoban', 'democrat_nowallnoban', 'tcot_suck', 'pathetic_liberal', 'suck'], 'America First': ['america_globalist', 'americafirst_proudamerican']}",Political Support.American Nationalism.Trump Presidency.Political Opposition.America First,"{'US Immigration Policy': 'ban, travel, immigration, order, appeal', 'Trump Administration Legal Challenges': 'trump, donald, trumps, president, court, judge, attack'}",US Immigration Policy.Trump Administration Legal Challenges
10,9,"['ban', 'travel', 'trump', 'donald', 'trumps', 'president', 'court', 'immigration', 'judge', 'order', 'appeal', 'wall']",20,6,"['ban', 'travel', 'trump', 'donald', 'trumps', 'president', 'court', 'judge', 'immigration', 'order', 'appeal', 'attack']",0,"['ban', 'trump', 'travel', 'trumps', 'donald', 'court', 'muslim', 'immigration', 'president', 'order', 'judge', 'white_house', 'appeal', 'federal']",12,"['ban', 'travel', 'trump', 'donald', 'trumps', 'president', 'court', 'wall_street', 'immigration', 'judge', 'order', 'appeal', 'state_allow', 'boston_globe']","[863001163, 870872898, 870876488, 870879266, 870881976, 870882342, 870886394, 870886453, 870892134, 870895488, 870898004, 870898051, 870903090, 870906686, 870907736, 870912895, 896433678, 896440986, 896449622, 915468734, 915656912, 915722492, 915760574, 915807048, 915807342, 915812143, 915896065, 915915606, 915975206, 916004004, 916017960, 916037102, 916051280, 916185487, 916342638, 916490078, 929528022, 929532313, 929535824, 951795330, 951798776, 951825942, 953096516, 1091969084, 1091988979, 1092580321, 1092968340, 1093086042, 1093122954, 1094795100, 4431576263, 4496932162, 4501456696, 4506488051, 4577501358, 4577589252, 4697031619, 4697675496, 4698236432, 4699061804, 4710967996, 4717129347, 705010088587739136, 708109929941495809, 708153637780979712, 708168310307749889, 708204345469345792, 753111979355701248, 753118526911737856, 753124449491283968, 753135483530649600, 753146433897922560, 753245086503276545, 753257017985343488, 753261223056211968, 754526264065744896, 755773802613792769, 755801917125779457, 755807795702890496, 755808480037105664, 755814710847602688, 755820797202137088, 755848821448511488, 755853320858763264, 756235895880179712, 756249866553192448, 756264959336669184, 756271610244526080, 756286894376415232, 756303624167362560, 756337577960046593, 756369439541583872, 756399335533846528, 756423469265481728, 756482440215072768, 756727573401534464, 756773426640121856, 756842252295700480, 756867598743109632, 756875453483319296, 756881732826193921, 756891080294039553, 756891507173580800, 756891633086566400, 756893436091961345, 756896667174043648, 756904523189346304, 756905542979813376, 756909373197254656, 756911892535336960, 756912977866002433, 756915457672769536, 756916488829796352, 756919296312344576, 756922206555410432, 756925310289973249, 765572460586696704, 765676559256711168, 765807721782411264, 765809493590564864, 765812133221236736, 765838829454499841, 765857763712966657, 765877629308301312, 765881369943764992, 765890902317563904, 765895476755464192, 765907582259167233, 765909919019196416, 765910052708421632, 765914327887085568, 784263169996836900]","ban,travel,trump,donald,trumps,president,court,immigration,judge,order,appeal,wall,muslim,white_house,federal,attack,wall_street,state_allow,boston_globe","ban,travel,trump,donald,trumps,president,court,immigration,judge,order,appeal,wall,muslim,white_house,federal","ban,travel,trump,donald,trumps,president,court,judge,immigration,order,appeal,attack,wall_street,state_allow,boston_globe","{'US Immigration Policy and Legal Challenges': ['ban', 'travel', 'trump', 'donald', 'trumps', 'president', 'court', 'immigration', 'judge', 'order', 'appeal', 'muslim', 'federal', 'state_allow'], 'US-Mexico Border Wall': ['wall', 'trump', 'donald', 'trumps', 'president', 'white_house'], 'Media and Public Reaction': ['boston_globe', 'wall_street', 'attack']}",US Immigration Policy and Legal Challenges.US-Mexico Border Wall.Media and Public Reaction,"{'US Immigration Policy': 'ban, travel, immigration, wall, muslim', 'Trump Administration': 'trump, donald, trumps, president, white_house', 'Judicial Proceedings': 'court, judge, order, appeal, federal'}",US Immigration Policy.Trump Administration.Judicial Proceedings,"{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, donald, trumps, president, court, judge, immigration, order, appeal', 'Media and Public Reaction': 'attack, wall_street, state_allow, boston_globe'}",US Immigration Policy and Legal Challenges.Media and Public Reaction
17,0,"['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand']",21,3,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'trump']",0,"['ban', 'trump', 'travel', 'trumps', 'donald', 'court', 'muslim', 'immigration', 'president', 'order', 'judge', 'white_house', 'appeal', 'federal']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[47813521, 1057356487, 784785269262344192]","muslimban,trump,muslim,ban,nobannowall,refugee,refugeeswelcome,law,thcircuit,stand,travel,trumps,donald,court,immigration,president,order,judge,white_house,appeal,federal,people","muslimban,trump,muslim,ban,nobannowall,refugee,refugeeswelcome,law,thcircuit,stand,travel,trumps,donald,court,immigration,president,order,judge,white_house,appeal,federal","muslimban,nobannowall,muslim,refugee,trump,refugeeswelcome,ban,people","{'Travel Ban Controversy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand, travel, trumps, donald, court, immigration, president, order, judge, white_house, appeal, federal, people'}",Travel Ban Controversy,"{'US Immigration Policy Controversy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand, travel, trumps, donald, court, immigration, president, order, judge, white_house, appeal, federal'}",US Immigration Policy Controversy,"{'US Immigration Policy Controversy': 'muslimban, nobannowall, muslim, refugee, trump, refugeeswelcome, ban, people'}",US Immigration Policy Controversy
18,11,"['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule']",22,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",9,"['ban', 'travel', 'trump', 'immigration', 'order', 'court', 'trumps', 'president', 'judge', 'appeal', 'federal', 'halt']",1,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'president', 'judge', 'muslim', 'white_house', 'appeal', 'federal', 'rule']","[16399993, 93069110, 137751142, 2421708751]","ban,travel,trump,immigration,order,trumps,court,judge,president,appeal,federal,rule,halt,muslim,block,white_house","ban,travel,trump,immigration,order,trumps,court,judge,president,appeal,federal,rule,halt","ban,trump,travel,immigration,trumps,order,court,muslim,judge,president,appeal,federal,block,white_house,rule","{'US Travel Ban Controversy': 'ban, travel, trump, immigration, order, trumps, court, judge, president, appeal, federal, rule, halt, muslim, block, white_house'}",US Travel Ban Controversy,"{'US Immigration Policy and Legal Challenges': 'ban, travel, trump, immigration, order, trumps, court, judge, president, appeal, federal, rule, halt'}",US Immigration Policy and Legal Challenges,"{'US Travel Ban Controversy': 'ban, trump, travel, immigration, trumps, order, court, muslim, judge, president, appeal, federal, block, white_house, rule'}",US Travel Ban Controversy
22,6,"['muslimban', 'nobannowall', 'immigration', 'tntweeter', 'uslatino', 'nomuslimban']",27,3,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'trump']",10,"['nobannowall', 'muslimban', 'art_bxlart', 'refugeeswelcome', 'nomuslimban', 'ban']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[780479026343194624, 800942537083068400, 806877805157949440, 820850838671237120]","muslimban,nobannowall,immigration,tntweeter,uslatino,nomuslimban,art_bxlart,refugeeswelcome,ban,muslim,refugee,trump,people","muslimban,nobannowall,immigration,tntweeter,uslatino,nomuslimban,art_bxlart,refugeeswelcome,ban","muslimban,nobannowall,muslim,refugee,trump,refugeeswelcome,ban,people","{'US Immigration Policies and Protests': ['muslimban', 'nobannowall', 'immigration', 'nomuslimban', 'refugeeswelcome', 'ban', 'refugee', 'trump'], 'Social Media and Activism': ['tntweeter', 'uslatino', 'people'], 'Art and Cultural Expression': ['art_bxlart', 'muslim']}",US Immigration Policies and Protests.Social Media and Activism.Art and Cultural Expression,"{'Immigration and Travel Ban Protests': 'muslimban, nobannowall, immigration, nomuslimban, refugeeswelcome, ban', 'Social Media Activism': 'tntweeter, uslatino', 'Art and Activism': 'art_bxlart'}",Immigration and Travel Ban Protests.Social Media Activism.Art and Activism,"{'US Immigration Policy Controversy': 'muslimban, nobannowall, muslim, refugee, trump, refugeeswelcome, ban, people'}",US Immigration Policy Controversy
23,0,"['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand']",28,3,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'trump']",6,"['muslimban', 'nobannowall', 'trump', 'muslim', 'refugee']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[50769180, 525652918, 2192113540, 830118236406632448]","muslimban,trump,muslim,ban,nobannowall,refugee,refugeeswelcome,law,thcircuit,stand,people","muslimban,trump,muslim,ban,nobannowall,refugee,refugeeswelcome,law,thcircuit,stand","muslimban,nobannowall,muslim,refugee,trump,refugeeswelcome,ban,people","{'US Immigration Policy': ['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand', 'people']}",US Immigration Policy,"{'US Immigration Policy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand'}",US Immigration Policy,"{'US Immigration Policy Controversy': 'muslimban, nobannowall, muslim, refugee, trump, refugeeswelcome, ban, people'}",US Immigration Policy Controversy
24,0,"['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand']",29,3,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'trump']",6,"['muslimban', 'nobannowall', 'trump', 'muslim', 'refugee']",0,"['muslimban', 'resist', 'theresistance', 'trumprussia', 'dworkinreport', 'trumpleak', 'trump', 'tie', 'read', 'nodapl', 'impeachtrump', 'flynn', 'resistance', 'amjoy']","[24470087, 24920077, 126364026, 215002582, 253677176, 3372940330, 776751034098126848, 792457353723469824, 808827316470185989, 823803346884640768]","muslimban,trump,muslim,ban,nobannowall,refugee,refugeeswelcome,law,thcircuit,stand,resist,theresistance,trumprussia,dworkinreport,trumpleak,tie,read,nodapl,impeachtrump,flynn,resistance,amjoy","muslimban,trump,muslim,ban,nobannowall,refugee,refugeeswelcome,law,thcircuit,stand","muslimban,nobannowall,muslim,refugee,trump,resist,theresistance,trumprussia,dworkinreport,trumpleak,tie,read,nodapl,impeachtrump,flynn,resistance,amjoy","{'Travel Ban and Immigration Policy': ['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit'], 'Political Resistance and Activism': ['stand', 'resist', 'theresistance', 'resistance', 'amjoy'], 'Trump-Russia Investigation': ['trumprussia', 'dworkinreport', 'trumpleak', 'flynn'], 'Impeachment and Political Controversy': ['impeachtrump', 'tie', 'read'], 'Environmental Activism': ['nodapl']}",Travel Ban and Immigration Policy.Political Resistance and Activism.Trump-Russia Investigation.Impeachment and Political Controversy.Environmental Activism,"{'US Immigration Policy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand'}",US Immigration Policy,"{'US Political Resistance Movements': ['muslimban', 'nobannowall', 'resist', 'theresistance', 'resistance', 'impeachtrump'], 'Trump Administration Controversies': ['trump', 'trumprussia', 'dworkinreport', 'trumpleak', 'flynn'], 'Immigration and Refugee Issues': ['muslim', 'refugee'], 'Media and Public Discourse': ['amjoy', 'read'], 'Environmental and Indigenous Rights': ['nodapl']}",US Political Resistance Movements.Trump Administration Controversies.Immigration and Refugee Issues.Media and Public Discourse.Environmental and Indigenous Rights
29,11,"['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule']",32,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",0,"['ban', 'trump', 'travel', 'trumps', 'donald', 'court', 'muslim', 'immigration', 'president', 'order', 'judge', 'white_house', 'appeal', 'federal']",1,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'president', 'judge', 'muslim', 'white_house', 'appeal', 'federal', 'rule']","[790399874, 4510755552, 742743988269092864]","ban,travel,trump,immigration,order,trumps,court,judge,president,appeal,federal,rule,donald,muslim,white_house,block","ban,travel,trump,immigration,order,trumps,court,judge,president,appeal,federal,rule,donald,muslim,white_house","ban,trump,travel,immigration,trumps,order,court,muslim,judge,president,appeal,federal,block,white_house,rule","{""Trump's Travel Ban"": 'ban, travel, trump, immigration, order, trumps, court, judge, president, appeal, federal, rule, donald, muslim, white_house, block'}",Trump's Travel Ban,"{'US Travel Ban Controversy': 'ban, travel, trump, immigration, order, trumps, court, judge, president, appeal, federal, rule, donald, muslim, white_house'}",US Travel Ban Controversy,"{'US Travel Ban Controversy': 'ban, trump, travel, immigration, trumps, order, court, muslim, judge, president, appeal, federal, block, white_house, rule'}",US Travel Ban Controversy
30,0,"['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand']",34,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",6,"['muslimban', 'nobannowall', 'trump', 'muslim', 'refugee']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[16873455, 4844679426, 787211898278191104]","muslimban,trump,muslim,ban,nobannowall,refugee,refugeeswelcome,law,thcircuit,stand,travel,immigration,trumps,order,court,judge,president,appeal,federal,block,people","muslimban,trump,muslim,ban,nobannowall,refugee,refugeeswelcome,law,thcircuit,stand","ban,trump,travel,immigration,trumps,order,court,muslim,judge,president,appeal,federal,block,muslimban,nobannowall,refugee,refugeeswelcome,people","{'US Immigration Policy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand, travel, immigration, trumps, order, court, judge, president, appeal, federal, block, people'}",US Immigration Policy,"{'US Immigration Policy': 'muslimban, trump, muslim, ban, nobannowall, refugee, refugeeswelcome, law, thcircuit, stand'}",US Immigration Policy,"{'US Travel Ban Controversy': 'ban, trump, travel, immigration, trumps, order, court, muslim, judge, president, appeal, federal, block, muslimban, nobannowall, refugee, refugeeswelcome, people'}",US Travel Ban Controversy
31,11,"['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule']",36,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",1,"['lift_forget', 'forget', 'quit_beat', 'dead_horse']",13,"['ban', 'travel', 'immigration', 'trump', 'order', 'judge', 'court', 'president', 'trumps']","[40813666, 287360112, 358155712, 380782294, 1017515348, 1270793143, 2308939452, 2345391823, 2826946435, 2827072824, 2834618630, 3143003737, 3306341327, 3328277663, 3404806331, 4493348365, 4605204442]","ban,travel,trump,immigration,order,trumps,court,judge,president,appeal,federal,rule,lift_forget,forget,quit_beat,dead_horse,muslim,block","ban,travel,trump,immigration,order,trumps,court,judge,president,appeal,federal,rule,lift_forget,forget,quit_beat,dead_horse","ban,trump,travel,immigration,trumps,order,court,muslim,judge,president,appeal,federal,block","{'US Immigration Policy': ['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule', 'lift', 'muslim', 'block']}",US Immigration Policy,"{'US Immigration Policy': 'ban, travel, trump, immigration, order, trumps, court, judge, president, appeal, federal, rule, lift', 'Idiomatic Expressions': 'forget, quit_beat, dead_horse'}",US Immigration Policy.Idiomatic Expressions,"{'US Travel Ban Controversy': 'ban, trump, travel, immigration, trumps, order, court, muslim, judge, president, appeal, federal, block'}",US Travel Ban Controversy
