absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members,all_keywords,absolute_keywords,weighted_keywords,general_theme_gpt,general_theme_names,absolute_theme_gpt,absolute_theme_names,weighted_theme_gpt,weighted_theme_names
0,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",0,11,"['trump', 'ban', 'resist', 'muslimban', 'immigration', 'trumpleak', 'travel', 'theresistance', 'trumps', 'order', 'nobannowall', 'impeachtrump', 'president', 'resistance', 'stopsession', 'muslim']",6,"['ban', 'travel', 'trump', 'trumps', 'immigration', 'president', 'order', 'executive_order', 'sally_yate', 'attorney_general', 'protest']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[29442313, 773971417234890753, 777158905688449028]","ban,trump,immigration,travel,trumps,donald,order,president,fire,muslim,state,general,attorney,defend,official,executive_order,sally_yate,attorney_general,protest,resist,muslimban,trumpleak,theresistance,nobannowall,impeachtrump,resistance,stopsession","ban,trump,immigration,travel,trumps,donald,order,president,fire,muslim,state,general,attorney,defend,official,executive_order,sally_yate,attorney_general,protest","trump,ban,resist,muslimban,immigration,trumpleak,travel,theresistance,trumps,order,nobannowall,impeachtrump,president,resistance,stopsession,muslim,executive_order,protest","{'US Immigration Policy': ['ban', 'immigration', 'travel', 'order', 'executive_order', 'muslimban', 'nobannowall'], 'Trump Administration': ['trump', 'trumps', 'donald', 'president', 'fire', 'official', 'trumpleak', 'impeachtrump'], 'Legal and Political Resistance': ['state', 'general', 'attorney', 'defend', 'sally_yate', 'attorney_general', 'protest', 'resist', 'theresistance', 'resistance', 'stopsession']}",US Immigration Policy.Trump Administration.Legal and Political Resistance,"{""Trump's Immigration and Travel Ban"": ['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'executive_order'], 'Controversy and Legal Challenges': ['fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official', 'sally_yate', 'attorney_general', 'protest']}",Trump's Immigration and Travel Ban.Controversy and Legal Challenges,"{'US Immigration Policy and Protests': 'trump, ban, resist, muslimban, immigration, travel, theresistance, trumps, order, nobannowall, president, resistance, muslim, executive_order, protest', 'Political Opposition to Trump': 'trumpleak, impeachtrump, stopsession'}",US Immigration Policy and Protests.Political Opposition to Trump
4,7,"['short', 'muslimban', 'goal', 'leave', 'fake', 'bannon', 'guy', 'protester', 'tear', 'flashpoint', 'yrs', 'division', 'good', 'member', 'unconstitutional', 'draft', 'purpose']",69,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",14,"['ban', 'muslim', 'americans_support', 'travel', 'trumps', 'do_not', 'support', 'americans']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[15837659, 36538396, 58808888, 130617778, 134971995, 269348217, 1888341020, 2148326197, 2844693572, 2980312240, 768140059497365504, 803053854325542912]","short,muslimban,goal,leave,fake,bannon,guy,protester,tear,flashpoint,yrs,division,good,member,unconstitutional,draft,purpose,ban,muslim,americans_support,travel,trumps,do_not,support,americans,trump,immigration,order,refugee,country,people,executive_order,protest,president","short,muslimban,goal,leave,fake,bannon,guy,protester,tear,flashpoint,yrs,division,good,member,unconstitutional,draft,purpose,ban,muslim,americans_support,travel,trumps,do_not,support,americans","ban,muslimban,muslim,trump,travel,trumps,immigration,order,refugee,support,country,people,executive_order,protest,president","{""Theme: Trump's Immigration Policies"": 'muslimban, ban, travel, trumps, immigration, order, refugee, country, executive_order, president', 'Theme: Public Reaction and Division': 'protester, protest, americans_support, do_not, support, americans, division, unconstitutional, flashpoint', 'Theme: Key Figures and Controversies': 'bannon, fake, draft, purpose, short, goal, leave, guy, tear, yrs, good, member'}",Theme: Trump's Immigration Policies.Theme: Public Reaction and Division.Theme: Key Figures and Controversies,"{""Trump's Travel Ban Controversy"": ['muslimban', 'ban', 'muslim', 'travel', 'trumps', 'unconstitutional', 'americans_support', 'do_not', 'support', 'americans'], 'Political Division and Protest': ['protester', 'division', 'flashpoint', 'tear', 'bannon', 'fake', 'good', 'member', 'goal', 'leave', 'short', 'guy', 'yrs', 'draft', 'purpose']}",Trump's Travel Ban Controversy.Political Division and Protest,"{'US Immigration Policy and Controversy': ['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people', 'executive_order', 'protest', 'president']}",US Immigration Policy and Controversy
10,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",6,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",11,"['muslimban', 'studentban', 'nobannowall', 'notbanstudentvisa', 'worth_worldwide', 'iranian_student', 'notbanstudentvisa_studentban', 'studentban_plz', 'beautiful_mind', 'letthemin_respect', 'studentban_notbanstudentvisa', 'letthemin', 'notaterrorist_studentban', 'support', 'respect']",4,"['muslimban', 'ban', 'travel', 'muslim', 'trump', 'maga', 'migrant_europe', 'americans_support', 'trumps', 'foxnew_breitbart', 'maga_vet', 'refugee', 'support', 'americans']","[61374952, 1374510187, 1471218535, 1489867182, 2903325074, 4272870988, 756828470550859776, 766701225291251712, 790284844739629056, 812435736146350081, 824069683607310337]","muslimban,muslim,trump,ban,heartland,refuge,people,refugee,america,order,protest,vote,country,studentban,nobannowall,notbanstudentvisa,worth_worldwide,iranian_student,notbanstudentvisa_studentban,studentban_plz,beautiful_mind,letthemin_respect,studentban_notbanstudentvisa,letthemin,notaterrorist_studentban,support,respect,travel,trumps,immigration,maga,migrant_europe,americans_support,foxnew_breitbart,maga_vet,americans","muslimban,muslim,trump,ban,heartland,refuge,people,refugee,america,order,protest,vote,country,studentban,nobannowall,notbanstudentvisa,worth_worldwide,iranian_student,notbanstudentvisa_studentban,studentban_plz,beautiful_mind,letthemin_respect,studentban_notbanstudentvisa,letthemin,notaterrorist_studentban,support,respect","ban,muslimban,muslim,trump,travel,trumps,immigration,order,refugee,support,country,people,maga,migrant_europe,americans_support,foxnew_breitbart,maga_vet,americans","{'Travel Ban and Immigration Policies': 'muslimban, muslim, trump, ban, heartland, refuge, people, refugee, america, order, protest, vote, country, studentban, nobannowall, notbanstudentvisa, worth_worldwide, iranian_student, notbanstudentvisa_studentban, studentban_plz, beautiful_mind, letthemin_respect, studentban_notbanstudentvisa, letthemin, notaterrorist_studentban, support, respect, travel, trumps, immigration, maga, migrant_europe, americans_support, foxnew_breitbart, maga_vet, americans'}",Travel Ban and Immigration Policies,"{'Travel and Immigration Restrictions': ['muslimban', 'ban', 'studentban', 'studentban_notbanstudentvisa', 'notbanstudentvisa', 'notbanstudentvisa_studentban', 'studentban_plz', 'notaterrorist_studentban', 'iranian_student', 'letthemin', 'letthemin_respect', 'nobannowall'], 'Political and Social Response': ['trump', 'order', 'protest', 'vote', 'support', 'respect'], 'Impact on People and Communities': ['muslim', 'refuge', 'people', 'refugee', 'america', 'country', 'heartland', 'worth_worldwide', 'beautiful_mind']}",Travel and Immigration Restrictions.Political and Social Response.Impact on People and Communities,"{'US Immigration Policy': ['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people', 'maga', 'americans_support', 'foxnew_breitbart', 'maga_vet', 'americans'], 'European Migration': ['migrant_europe']}",US Immigration Policy.European Migration
14,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",11,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[121817564, 2396355364, 3391168425]","muslimban,muslim,trump,ban,heartland,refuge,people,refugee,america,order,protest,vote,country,america_heartland,seek,seek_refuge,nobannowall,seek_refuge_america_heartland,executive_order,student,travel,trumps,immigration,support,president","muslimban,muslim,trump,ban,heartland,refuge,people,refugee,america,order,protest,vote,country,america_heartland,seek,seek_refuge,nobannowall,seek_refuge_america_heartland,executive_order,student","ban,muslimban,muslim,trump,travel,trumps,immigration,order,refugee,support,country,people,executive_order,protest,president","{'US Immigration Policy': 'muslimban, muslim, trump, ban, executive_order, immigration, president, trumps', 'Public Reaction and Protest': 'protest, vote, support, nobannowall', 'Refuge and Asylum': 'refuge, people, refugee, seek, seek_refuge, seek_refuge_america_heartland', 'Impact on America': 'america, america_heartland, heartland, country', 'Travel and Education': 'student, travel, order'}",US Immigration Policy.Public Reaction and Protest.Refuge and Asylum.Impact on America.Travel and Education,"{'US Immigration Policy and Protests': ['muslimban', 'muslim', 'trump', 'ban', 'order', 'protest', 'vote', 'executive_order', 'nobannowall'], 'Refugees and Seeking Asylum': ['refuge', 'people', 'refugee', 'seek', 'seek_refuge', 'seek_refuge_america_heartland'], ""America's Heartland and Inclusivity"": ['heartland', 'america', 'country', 'america_heartland', 'student']}",US Immigration Policy and Protests.Refugees and Seeking Asylum.America's Heartland and Inclusivity,"{'US Immigration Policy and Controversy': ['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people', 'executive_order', 'protest', 'president']}",US Immigration Policy and Controversy
15,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",13,3,"['muslim', 'seek', 'heartland', 'refuge', 'america', 'ban', 'ohio', 'trump', 'stab', 'state']",0,"['muslimban', 'migrant_europe', 'trump', 'foxnew_breitbart', 'maga_vet', 'europe']",4,"['muslimban', 'ban', 'travel', 'muslim', 'trump', 'maga', 'migrant_europe', 'americans_support', 'trumps', 'foxnew_breitbart', 'maga_vet', 'refugee', 'support', 'americans']","[18082945, 279425578, 414638265, 616260000, 1568656350, 2927222132, 3033123912, 3740303121, 4794182534]","muslimban,muslim,trump,ban,heartland,refuge,people,refugee,america,order,protest,vote,country,migrant_europe,foxnew_breitbart,maga_vet,europe,seek,ohio,stab,state,travel,maga,americans_support,trumps,support,americans","muslimban,muslim,trump,ban,heartland,refuge,people,refugee,america,order,protest,vote,country,migrant_europe,foxnew_breitbart,maga_vet,europe","muslim,seek,heartland,refuge,america,ban,ohio,trump,stab,state,muslimban,travel,maga,migrant_europe,americans_support,trumps,foxnew_breitbart,maga_vet,refugee,support,americans","{'US Immigration Policy': 'muslimban, muslim, trump, ban, america, order, protest, vote, country, travel, maga, americans_support, trumps, support, americans', 'Refugee and Migrant Issues': 'refuge, people, refugee, migrant_europe, europe, seek', 'Media and Public Opinion': 'foxnew_breitbart, maga_vet', 'Specific Events or Incidents': 'heartland, ohio, stab, state'}",US Immigration Policy.Refugee and Migrant Issues.Media and Public Opinion.Specific Events or Incidents,"{'US Immigration Policy': 'muslimban, muslim, trump, ban, america, order, protest, vote, country, refugee', 'Media and Political Influence': 'foxnew_breitbart, maga_vet', 'Migration and Refugees': 'refuge, people, migrant_europe, europe, heartland'}",US Immigration Policy.Media and Political Influence.Migration and Refugees,"{'US Immigration and Refugee Policy': ['muslim', 'refuge', 'america', 'ban', 'muslimban', 'travel', 'migrant_europe', 'refugee', 'support', 'americans_support', 'americans'], 'Trump Administration and Policies': ['trump', 'trumps', 'maga', 'maga_vet', 'foxnew_breitbart'], 'Incidents and Reactions in Ohio': ['seek', 'heartland', 'ohio', 'stab', 'state']}",US Immigration and Refugee Policy.Trump Administration and Policies.Incidents and Reactions in Ohio
16,13,"['muslimban', 'canada', 'breitbart', 'lax', 'january', 'muslim', 'faith', 'target', 'people', 'ambulance', 'passport', 'break', 'lawyer', 'record', 'degree']",21,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",0,"['muslimban', 'migrant_europe', 'trump', 'foxnew_breitbart', 'maga_vet', 'europe']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[21159536, 24443584, 50636372, 62065766, 130139655, 150708880, 293750409, 293795578, 342034927, 414783141, 473630309, 554223879, 729264218, 848478188, 851376192, 1101298442, 1322873018, 1336902607, 1489325107, 1626294277, 2555055486, 2734172982, 2804138785, 2914421262, 2930948224, 2960637632, 3426731170, 709492573421764608, 757659763928866816, 806394851822551040, 817142310588841984, 825010900277014528, 825159194751881216]","muslimban,canada,breitbart,lax,january,muslim,faith,target,people,ambulance,passport,break,lawyer,record,degree,migrant_europe,trump,foxnew_breitbart,maga_vet,europe,ban,travel,trumps,immigration,order,refugee,support,country,executive_order,protest,president","muslimban,canada,breitbart,lax,january,muslim,faith,target,people,ambulance,passport,break,lawyer,record,degree,migrant_europe,trump,foxnew_breitbart,maga_vet,europe","ban,muslimban,muslim,trump,travel,trumps,immigration,order,refugee,support,country,people,executive_order,protest,president","{'US Immigration Policy': ['muslimban', 'trump', 'ban', 'travel', 'immigration', 'order', 'refugee', 'executive_order', 'protest', 'president'], 'Media and Public Opinion': ['breitbart', 'foxnew_breitbart', 'maga_vet', 'support'], 'International Relations': ['canada', 'europe', 'migrant_europe', 'country'], 'Legal and Social Impact': ['lawyer', 'record', 'degree', 'passport', 'target', 'people', 'faith', 'muslim', 'ambulance', 'break']}",US Immigration Policy.Media and Public Opinion.International Relations.Legal and Social Impact,"{'Travel and Immigration Restrictions': ['muslimban', 'passport', 'migrant_europe', 'trump', 'muslim', 'target'], 'Media and Politics': ['breitbart', 'foxnew_breitbart', 'trump', 'maga_vet'], 'Legal and Social Issues': ['lawyer', 'record', 'break', 'faith', 'people'], 'International Relations': ['canada', 'europe', 'migrant_europe'], 'Emergency and Security': ['ambulance', 'lax', 'target']}",Travel and Immigration Restrictions.Media and Politics.Legal and Social Issues.International Relations.Emergency and Security,"{'US Immigration Policy and Controversy': ['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people', 'executive_order', 'protest', 'president']}",US Immigration Policy and Controversy
17,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",14,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",12,"['ban', 'donald', 'trump', 'trumps', 'immigration', 'stock', 'travel', 'fire', 'dissent_memo', 'fire_attorney', 'muslim']",10,"['ban', 'trump', 'vote_deliver', 'big_majority', 'sign_petition', 'vote', 'immigration', 'terror_attack', 'silent_majority', 'americans']","[35228624, 90182089, 107794703, 132549988, 452995365, 458341983, 473519962, 573953385, 592877327, 857892534, 1083749497, 1125937411, 1300838640, 1725725448, 2225747204, 2858541770, 4105901787]","ban,trump,immigration,travel,trumps,donald,order,president,fire,muslim,state,general,attorney,defend,official,stock,dissent_memo,fire_attorney,muslimban,refugee,support,country,people,vote_deliver,big_majority,sign_petition,vote,terror_attack,silent_majority,americans","ban,trump,immigration,travel,trumps,donald,order,president,fire,muslim,state,general,attorney,defend,official,stock,dissent_memo,fire_attorney","ban,muslimban,muslim,trump,travel,trumps,immigration,order,refugee,support,country,people,vote_deliver,big_majority,sign_petition,vote,terror_attack,silent_majority,americans","{'US Immigration Policy': ['ban', 'immigration', 'travel', 'order', 'refugee', 'country', 'people', 'muslimban'], 'Trump Administration Actions': ['trump', 'trumps', 'donald', 'president', 'fire', 'state', 'general', 'attorney', 'defend', 'official', 'fire_attorney'], 'Public and Political Response': ['stock', 'dissent_memo', 'support', 'vote_deliver', 'big_majority', 'sign_petition', 'vote', 'silent_majority', 'americans'], 'National Security Concerns': ['terror_attack', 'muslim']}",US Immigration Policy.Trump Administration Actions.Public and Political Response.National Security Concerns,"{'US Immigration Policy': 'ban, immigration, travel, order, muslim', 'Trump Administration Actions': 'trump, trumps, donald, president, fire, state, general, attorney, defend, official, dissent_memo, fire_attorney', 'Political and Legal Controversies': 'stock, dissent_memo, fire_attorney'}",US Immigration Policy.Trump Administration Actions.Political and Legal Controversies,"{'Theme: US Immigration Policy and Public Reaction': 'ban, muslimban, muslim, trump, travel, trumps, immigration, order, refugee, support, country, people, vote_deliver, big_majority, sign_petition, vote, terror_attack, silent_majority, americans'}",Theme: US Immigration Policy and Public Reaction
18,7,"['short', 'muslimban', 'goal', 'leave', 'fake', 'bannon', 'guy', 'protester', 'tear', 'flashpoint', 'yrs', 'division', 'good', 'member', 'unconstitutional', 'draft', 'purpose']",15,3,"['muslim', 'seek', 'heartland', 'refuge', 'america', 'ban', 'ohio', 'trump', 'stab', 'state']",10,"['leave', 'national_security', 'good_righteous', 'protester_unknowingly', 'serve_bannon', 'align_perceive', 'leave_dog', 'flashpoint_leave', 'flashpoint', 'division_protester', 'bannon_choose', 'action_infer', 'purpose_suit']",9,"['america_heartland', 'muslim', 'heartland', 'refuge', 'seek', 'america', 'seek_refuge', 'seek_refuge_america_heartland', 'start_help', 'heartland_kill', 'ban', 'ohio', 'trump', 'stab', 'ohio_state', 'father_seek', 'refugee_admission', 'state']","[19915594, 47379354, 47866792, 164037186, 174771928, 355028519, 1952510090, 2256033301, 2790977262, 2866639611, 822479723959844865]","short,muslimban,goal,leave,fake,bannon,guy,protester,tear,flashpoint,yrs,division,good,member,unconstitutional,draft,purpose,national_security,good_righteous,protester_unknowingly,serve_bannon,align_perceive,leave_dog,flashpoint_leave,division_protester,bannon_choose,action_infer,purpose_suit,muslim,seek,heartland,refuge,america,ban,ohio,trump,stab,state,america_heartland,seek_refuge,seek_refuge_america_heartland,start_help,heartland_kill,ohio_state,father_seek,refugee_admission","short,muslimban,goal,leave,fake,bannon,guy,protester,tear,flashpoint,yrs,division,good,member,unconstitutional,draft,purpose,national_security,good_righteous,protester_unknowingly,serve_bannon,align_perceive,leave_dog,flashpoint_leave,division_protester,bannon_choose,action_infer,purpose_suit","muslim,seek,heartland,refuge,america,ban,ohio,trump,stab,state,america_heartland,seek_refuge,seek_refuge_america_heartland,start_help,heartland_kill,ohio_state,father_seek,refugee_admission","{'US Immigration Policy and Controversies': ['muslimban', 'unconstitutional', 'national_security', 'ban', 'refugee_admission', 'trump', 'america', 'seek_refuge', 'america_heartland', 'heartland', 'ohio', 'ohio_state', 'protester', 'division_protester', 'flashpoint', 'flashpoint_leave', 'protester_unknowingly', 'bannon', 'serve_bannon', 'bannon_choose', 'action_infer', 'purpose_suit', 'draft', 'purpose', 'good_righteous', 'leave', 'leave_dog', 'stab', 'state', 'heartland_kill', 'father_seek', 'seek', 'refuge', 'start_help', 'good', 'member', 'division', 'fake', 'short', 'goal', 'guy', 'tear']}",US Immigration Policy and Controversies,"{'Political Controversy': ['muslimban', 'bannon', 'unconstitutional', 'national_security', 'protester', 'division', 'flashpoint', 'protester_unknowingly', 'serve_bannon', 'align_perceive', 'flashpoint_leave', 'division_protester', 'bannon_choose', 'action_infer', 'purpose_suit']}",Political Controversy,"{'Immigration and Refugee Policies': 'muslim, seek, refuge, america, ban, trump, seek_refuge, seek_refuge_america_heartland, refugee_admission', 'Violence and Safety Concerns': 'stab, heartland_kill, ohio_state', 'Political and Social Issues in America': 'heartland, america_heartland, ohio, state, start_help, father_seek'}",Immigration and Refugee Policies.Violence and Safety Concerns.Political and Social Issues in America
19,12,"['end', 'columbus', 'crowd', 'statehouse', 'ppl', 'themarchcontinue', 'atlanta', 'pepperspray', 'chant', 'medical', 'demilitarizecpd', 'pepperspraye', 'marching']",16,6,"['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'student', 'pressure', 'weak', 'iranian', 'letthemin', 'plz', 'york']",12,"['ban', 'donald', 'trump', 'trumps', 'immigration', 'stock', 'travel', 'fire', 'dissent_memo', 'fire_attorney', 'muslim']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[65698096, 239664892, 1566650000, 818655030970617857]","end,columbus,crowd,statehouse,ppl,themarchcontinue,atlanta,pepperspray,chant,medical,demilitarizecpd,pepperspraye,marching,ban,donald,trump,trumps,immigration,stock,travel,fire,dissent_memo,fire_attorney,muslim,muslimban,nobannowall,studentban,notbanstudentvisa,student,pressure,weak,iranian,letthemin,plz,york,order,executive_order,protest,president","end,columbus,crowd,statehouse,ppl,themarchcontinue,atlanta,pepperspray,chant,medical,demilitarizecpd,pepperspraye,marching,ban,donald,trump,trumps,immigration,stock,travel,fire,dissent_memo,fire_attorney,muslim","muslimban,nobannowall,studentban,notbanstudentvisa,student,pressure,weak,iranian,letthemin,plz,york,ban,trump,immigration,muslim,trumps,travel,order,executive_order,protest,president","{'Protest Against Immigration Policies': ['columbus', 'crowd', 'statehouse', 'ppl', 'themarchcontinue', 'atlanta', 'pepperspray', 'chant', 'medical', 'demilitarizecpd', 'pepperspraye', 'marching', 'ban', 'donald', 'trump', 'trumps', 'immigration', 'stock', 'travel', 'fire', 'dissent_memo', 'fire_attorney', 'muslim', 'muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'student', 'pressure', 'weak', 'iranian', 'letthemin', 'plz', 'york', 'order', 'executive_order', 'protest', 'president']}",Protest Against Immigration Policies,"{'Protest and Civil Unrest': 'end, columbus, crowd, statehouse, ppl, themarchcontinue, atlanta, pepperspray, chant, medical, demilitarizecpd, pepperspraye, marching, ban', 'Political Actions and Controversies': 'donald, trump, trumps, immigration, stock, travel, fire, dissent_memo, fire_attorney, muslim'}",Protest and Civil Unrest.Political Actions and Controversies,"{'US Immigration Policies': 'muslimban, nobannowall, studentban, notbanstudentvisa, ban, immigration, travel, order, executive_order', 'Protests and Public Response': 'pressure, weak, letthemin, plz, protest', 'Trump Administration Actions': 'trump, trumps, president', 'Affected Groups and Locations': 'student, iranian, muslim, york'}",US Immigration Policies.Protests and Public Response.Trump Administration Actions.Affected Groups and Locations
20,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",59,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[22799750, 824270573203292200, 826037707084279809]","muslimban,muslim,trump,ban,heartland,refuge,people,refugee,america,order,protest,vote,country,america_heartland,seek,seek_refuge,nobannowall,seek_refuge_america_heartland,executive_order,student,travel,trumps,immigration,support,president","muslimban,muslim,trump,ban,heartland,refuge,people,refugee,america,order,protest,vote,country,america_heartland,seek,seek_refuge,nobannowall,seek_refuge_america_heartland,executive_order,student","ban,muslimban,muslim,trump,travel,trumps,immigration,order,refugee,support,country,people,executive_order,protest,president","{'US Immigration Policy': 'muslimban, muslim, trump, ban, executive_order, immigration, president, trumps', 'Public Reaction and Protest': 'protest, vote, support, nobannowall', 'Refuge and Asylum': 'refuge, people, refugee, seek, seek_refuge, seek_refuge_america_heartland', 'Impact on America': 'america, america_heartland, heartland, country', 'Travel and Education': 'student, travel, order'}",US Immigration Policy.Public Reaction and Protest.Refuge and Asylum.Impact on America.Travel and Education,"{'US Immigration Policy and Protests': ['muslimban', 'muslim', 'trump', 'ban', 'order', 'protest', 'vote', 'executive_order', 'nobannowall'], 'Refugees and Seeking Asylum': ['refuge', 'people', 'refugee', 'seek', 'seek_refuge', 'seek_refuge_america_heartland'], ""America's Heartland and Inclusivity"": ['heartland', 'america', 'country', 'america_heartland', 'student']}",US Immigration Policy and Protests.Refugees and Seeking Asylum.America's Heartland and Inclusivity,"{'US Immigration Policy and Controversy': ['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people', 'executive_order', 'protest', 'president']}",US Immigration Policy and Controversy
