month,absolute,weighted,jaccard_score
february,0,0,0.0011485451761102604
february,0,1,0.0011278195488721805
february,0,6,0.000380517503805175
february,0,13,0.0011467889908256881
february,0,14,0.004313000616142945
february,0,17,0.0007651109410864575
february,0,34,0.00038182512409316535
february,0,37,0.00038182512409316535
february,0,46,0.0019142419601837673
february,0,51,0.00036483035388544326
february,0,53,0.00038138825324180017
february,0,56,0.0015226494099733537
february,0,59,0.0007627765064836003
february,0,77,0.002297090352220521
february,0,87,0.00038226299694189603
february,0,109,0.001480932987782303
february,0,110,0.0003816793893129771
february,0,126,0.6510362694300518
february,0,129,0.0003819709702062643
february,0,136,0.00038255547054322876
february,0,145,0.0014986886474334957
february,0,162,0.0011485451761102604
february,0,186,0.000364963503649635
february,0,208,0.0007598784194528875
february,0,233,0.0007572889057175312
february,0,263,0.00036656891495601173
february,1,208,0.18181818181818182
february,2,126,0.0007976601967561818
february,3,2,0.020942408376963352
february,3,3,0.015706806282722512
february,3,14,0.05063829787234043
february,3,38,0.019704433497536946
february,3,76,0.0020964360587002098
february,3,93,0.020942408376963352
february,3,126,0.012813941568426449
february,3,161,0.020942408376963352
february,4,1,0.0014925373134328358
february,4,4,0.020967741935483872
february,4,5,0.03365384615384615
february,4,7,0.0013908205841446453
february,4,14,0.0129325410695561
february,4,21,0.0030959752321981426
february,4,22,0.02258064516129032
february,4,31,0.0064516129032258064
february,4,51,0.005361930294906166
february,4,52,0.001579778830963665
february,4,56,0.019138755980861243
february,4,90,0.0014184397163120568
february,4,100,0.004838709677419355
february,4,109,0.09021406727828746
february,4,126,0.10463943519919314
february,4,145,0.008888888888888889
february,4,182,0.009259259259259259
february,4,186,0.009433962264150943
february,4,193,0.005689900426742532
february,4,263,0.001358695652173913
february,5,7,0.23673469387755103
february,5,14,0.01017915309446254
february,5,41,0.014492753623188406
february,5,95,0.019704433497536946
february,5,120,0.08374384236453201
february,5,169,0.0205761316872428
february,5,182,0.00423728813559322
february,5,193,0.0034602076124567475
february,5,263,0.3852813852813853
february,6,9,0.00580046403712297
february,6,10,0.003367003367003367
february,6,11,0.07517084282460136
february,6,14,0.19255601974933537
february,6,20,0.0011389521640091116
february,6,23,0.010440835266821345
february,6,27,0.0011086474501108647
february,6,50,0.012514220705346985
february,6,57,0.009074410163339383
february,6,73,0.00688298918387414
february,6,76,0.20566631689401887
february,6,96,0.017185821697099892
february,6,99,0.0011507479861910242
february,6,117,0.0069605568445475635
february,6,148,0.002176278563656148
february,6,159,0.002229654403567447
february,6,168,0.010440835266821345
february,6,263,0.0041025641025641026
february,7,1,0.0009000900090009
february,7,5,0.002770083102493075
february,7,6,0.0027906976744186047
february,7,7,0.016637478108581436
february,7,8,0.002827521206409048
february,7,14,0.3639705882352941
february,7,15,0.002827521206409048
february,7,34,0.0009363295880149813
february,7,37,0.0028142589118198874
february,7,38,0.011267605633802818
february,7,41,0.0009372071227741331
february,7,51,0.0025252525252525255
february,7,52,0.000931098696461825
february,7,59,0.0009328358208955224
february,7,76,0.0007423904974016332
february,7,111,0.004703668861712135
february,7,126,0.003746877601998335
february,7,145,0.022789425706472195
february,7,159,0.0018248175182481751
february,7,169,0.025023169601482854
february,7,186,0.0016835016835016834
february,7,191,0.003770028275212064
february,7,192,0.004699248120300752
february,7,210,0.002827521206409048
february,7,263,0.015517241379310345
february,9,6,0.002066115702479339
february,9,14,0.01628423390081421
february,9,16,0.00641025641025641
february,9,17,0.00425531914893617
february,9,34,0.01276595744680851
february,9,51,0.003355704697986577
february,9,109,0.0017857142857142857
february,9,126,0.09758629639242149
february,9,169,0.001953125
february,9,182,0.04583333333333333
february,9,186,0.005050505050505051
february,9,193,0.0018050541516245488
february,10,85,0.76
february,10,159,0.10714285714285714
february,11,10,0.011990407673860911
february,11,11,0.008547008547008548
february,11,12,0.020512820512820513
february,11,14,0.0003749531308586427
february,11,57,0.5960099750623441
february,11,76,0.1494057724957555
february,11,96,0.03711790393013101
february,11,102,0.038461538461538464
february,11,148,0.018140589569160998
february,11,229,0.007692307692307693
february,12,14,0.0004060089321965083
february,12,19,0.021505376344086023
february,12,73,0.8031088082901554
february,12,76,0.00211864406779661
february,12,96,0.09716599190283401
february,12,263,0.0033112582781456954
february,13,14,0.0026200873362445414
february,13,169,0.23529411764705882
february,15,14,0.021785561725758223
february,15,59,0.07692307692307693
february,15,159,0.11851851851851852
february,15,224,0.3217391304347826
february,15,263,0.004347826086956522
february,17,10,0.015748031496062992
february,17,11,0.0056179775280898875
february,17,20,0.16326530612244897
february,17,27,0.40816326530612246
february,17,148,0.3220338983050847
february,20,10,0.5365853658536586
february,20,14,0.00391304347826087
february,22,51,0.4327485380116959
february,22,109,0.12432432432432433
february,22,126,0.001809253036960455
february,22,193,0.004975124378109453
february,22,260,0.08695652173913043
february,23,14,0.008726003490401396
february,23,213,0.4117647058823529
february,24,50,0.35714285714285715
february,28,37,0.5
february,29,50,0.06666666666666667
february,29,57,0.003003003003003003
february,29,60,0.35714285714285715
february,29,96,0.19858156028368795
february,29,145,0.14173228346456693
february,33,193,0.09195402298850575
february,34,126,0.0015953203935123637
february,35,126,0.0015953203935123637
february,36,7,0.06481481481481481
february,36,14,0.0029154518950437317
february,36,21,0.19696969696969696
february,36,148,0.06179775280898876
february,36,193,0.496551724137931
february,41,126,0.01088688263409453
february,41,182,0.06666666666666667
february,44,1,0.001652892561983471
february,44,5,0.0017271157167530224
february,44,6,0.008818342151675485
february,44,7,0.0030627871362940277
february,44,13,0.007168458781362007
february,44,14,0.2029723991507431
february,44,18,0.0035842293906810036
february,44,41,0.005366726296958855
february,44,51,0.004398826979472141
february,44,53,0.017985611510791366
february,44,63,0.0017921146953405018
february,44,98,0.007207207207207207
february,44,109,0.0015455950540958269
february,44,111,0.0035714285714285713
february,44,126,0.004187994416007445
february,44,139,0.009009009009009009
february,44,145,0.013157894736842105
february,44,186,0.0058823529411764705
february,44,263,0.0014903129657228018
february,46,56,0.15789473684210525
february,47,1,0.27450980392156865
february,48,126,0.0007976601967561818
february,57,63,0.75
february,60,14,0.00038804811796662784
february,60,18,0.009933774834437087
february,60,28,0.023333333333333334
february,60,51,0.10824742268041238
february,60,109,0.007692307692307693
february,60,126,0.05152770585189021
february,60,186,0.002336448598130841
february,60,208,0.00625
february,60,224,0.002967359050445104
february,60,233,0.09602649006622517
february,64,52,0.8571428571428571
february,81,110,0.8888888888888888
february,82,87,0.8
february,85,90,0.9883720930232558
february,90,99,0.875
february,92,159,0.2972972972972973
february,114,129,0.8571428571428571
february,132,1,0.6078431372549019
february,159,208,0.6363636363636364
february,188,6,0.03349282296650718
february,188,7,0.020477815699658702
february,188,14,0.0004038772213247173
february,188,35,0.01507537688442211
february,188,51,0.003048780487804878
february,188,109,0.006896551724137931
february,188,126,0.012528765021733572
february,188,186,0.511520737327189
february,188,188,0.035175879396984924
february,188,192,0.014705882352941176
february,188,259,0.04020100502512563
february,188,263,0.0031746031746031746
february,224,11,0.05612244897959184
february,224,14,0.025170648464163822
february,224,126,0.013827289329506914
