month,absolute,weighted,jaccard_score
january,0,10,0.01615798922800718
january,0,16,0.04666666666666667
january,0,63,0.52
january,1,10,0.04329608938547486
january,1,16,0.7068965517241379
january,1,63,0.07536231884057971
january,1,126,0.021341463414634148
january,3,1,0.18292682926829268
january,3,5,0.5677966101694916
january,4,126,0.2727272727272727
january,5,3,0.9787234042553191
january,5,5,0.006711409395973154
january,6,4,0.034482758620689655
january,6,88,0.9655172413793104
january,7,5,0.2966101694915254
january,7,33,0.3
january,10,10,0.029288702928870293
january,11,6,0.04090909090909091
january,12,6,0.9545454545454546
january,14,10,0.055666003976143144
january,14,20,0.4528301886792453
january,14,126,0.00847457627118644
january,15,8,0.036231884057971016
january,15,10,0.24696356275303644
january,15,16,0.0027548209366391185
january,15,63,0.0041841004184100415
january,15,67,0.043478260869565216
january,15,125,0.0051813471502590676
january,21,10,0.02301255230125523
january,28,16,0.02654867256637168
january,30,126,0.09090909090909091
january,37,28,0.140625
january,37,125,0.8461538461538461
january,39,2,0.009584664536741214
january,39,6,0.0018796992481203006
january,39,10,0.4981060606060606
january,39,51,0.0028169014084507044
january,39,99,0.012779552715654952
january,39,115,0.009584664536741214
january,39,126,0.09855072463768116
january,50,63,0.08571428571428572
january,50,119,0.25
january,61,51,0.9545454545454546
january,61,63,0.006944444444444444
