month,absolute,weighted,jaccard_score
march,1,6,0.003188097768331562
march,1,8,0.3648736228127025
march,1,16,0.0014792899408284023
march,1,38,0.003257328990228013
march,1,42,0.00510204081632653
march,1,114,0.0016806722689075631
march,2,8,0.09430255402750491
march,2,33,0.006578947368421052
march,2,38,0.005555555555555556
march,4,6,0.036734693877551024
march,4,8,0.08020698576972833
march,4,38,0.00558659217877095
march,4,74,0.024844720496894408
march,7,6,0.007874015748031496
march,7,50,0.47619047619047616
march,8,1,0.0975609756097561
march,8,16,0.48695652173913045
march,8,70,0.16049382716049382
march,9,1,0.08928571428571429
march,9,6,0.0225
march,9,8,0.012894906511927788
march,9,38,0.208955223880597
march,10,13,0.7222222222222222
march,11,6,0.004140786749482402
march,11,8,0.06052801030264005
march,11,13,0.0070921985815602835
march,11,16,0.11794871794871795
march,11,53,0.006329113924050633
march,11,106,0.024193548387096774
march,12,8,0.005252790544977019
march,13,10,0.6959459459459459
march,13,19,0.13445378151260504
march,15,53,0.9428571428571428
march,17,8,0.08289817232375979
march,17,38,0.043209876543209874
march,19,7,0.518796992481203
march,19,10,0.008746355685131196
march,19,49,0.018691588785046728
march,21,4,0.02185792349726776
march,21,5,0.01639344262295082
march,21,6,0.3108433734939759
march,21,7,0.014109347442680775
march,21,10,0.08996539792387544
march,21,48,0.02185792349726776
march,21,52,0.04371584699453552
march,21,53,0.004608294930875576
march,22,8,0.027184466019417475
march,22,38,0.0898876404494382
march,22,114,0.18461538461538463
march,24,30,0.45454545454545453
march,25,6,0.49870801033591733
march,25,8,0.0011494252873563218
march,25,16,0.03986710963455149
march,25,30,0.026785714285714284
march,25,70,0.017241379310344827
march,35,74,0.7777777777777778
march,39,33,0.8
march,44,8,0.017071569271175313
march,53,50,0.2564102564102564
march,75,7,0.15051020408163265
march,88,0,0.03058823529411765
march,88,3,0.018823529411764704
march,88,6,0.005115089514066497
march,88,8,0.23682539682539683
march,88,13,0.009111617312072893
march,88,16,0.0038684719535783366
march,88,42,0.011682242990654205
march,88,50,0.01978021978021978
march,88,57,0.007058823529411765
march,103,7,0.29873417721518986
march,103,105,0.024793388429752067
