month,absolute,weighted,jaccard_score
february,0,0,0.0011516314779270633
february,0,1,0.0019223375624759708
february,0,2,0.00038284839203675346
february,0,4,0.008693894055802669
february,0,5,0.0007291286912139992
february,0,6,0.0011489850631941786
february,0,12,0.0003835826620636747
february,0,23,0.00038299502106472615
february,0,35,0.0003834355828220859
february,0,42,0.0007604562737642585
february,0,51,0.00037678975131876413
february,0,77,0.0037230081906180195
february,0,78,0.0007412898443291327
february,0,85,0.0015290519877675841
february,0,89,0.00038387715930902113
february,0,103,0.0017966223499820337
february,0,114,0.0003834355828220859
february,0,120,0.8511371467953136
february,0,127,0.0003835826620636747
february,0,132,0.0019223375624759708
february,0,139,0.0014825796886582653
february,0,140,0.0007547169811320754
february,0,156,0.0011534025374855825
february,0,157,0.0011534025374855825
february,0,171,0.00038211692777990065
february,0,175,0.0007630675314765357
february,1,140,0.6274509803921569
february,2,3,0.004784688995215311
february,2,4,0.16996507566938301
february,2,5,0.0012987012987012987
february,2,9,0.004491017964071856
february,2,18,0.003067484662576687
february,2,30,0.04059539918809202
february,2,49,0.009554140127388535
february,2,52,0.0015625
february,2,58,0.02694136291600634
february,2,67,0.0014044943820224719
february,2,73,0.0015479876160990713
february,2,85,0.01892744479495268
february,2,86,0.0014947683109118087
february,2,87,0.007974481658692184
february,2,103,0.05851755526657997
february,2,104,0.03508771929824561
february,2,120,0.002359882005899705
february,2,124,0.022328548644338118
february,2,139,0.006915629322268326
february,2,140,0.0014771048744460858
february,2,232,0.0013458950201884253
february,4,5,0.1557377049180328
february,4,37,0.018404907975460124
february,4,86,0.10365853658536585
february,4,139,0.04824561403508772
february,4,232,0.2561576354679803
february,4,237,0.12318840579710146
february,5,4,0.04535996670828132
february,5,78,0.0045045045045045045
february,5,120,0.0003455425017277125
february,5,134,0.01585014409221902
february,6,4,0.1762545899632803
february,6,5,0.001567398119122257
february,6,6,0.020080321285140562
february,6,7,0.010101010101010102
february,6,11,0.004
february,6,23,0.020161290322580645
february,6,30,0.00473186119873817
february,6,51,0.0018248175182481751
february,6,58,0.001941747572815534
february,6,59,0.002008032128514056
february,6,77,0.008547008547008548
february,6,103,0.004418262150220913
february,6,120,0.0024554941682013503
february,6,134,0.0009302325581395349
february,6,139,0.00505902192242833
february,6,140,0.001834862385321101
february,6,171,0.009861932938856016
february,6,232,0.0049261083743842365
february,7,2,0.0009033423667570009
february,7,4,0.330278732340588
february,7,5,0.0472972972972973
february,7,8,0.0027247956403269754
february,7,11,0.004553734061930784
february,7,17,0.002737226277372263
february,7,30,0.008143322475570033
february,7,35,0.0009066183136899365
february,7,37,0.011701170117011701
february,7,51,0.0017421602787456446
february,7,52,0.0009017132551848512
february,7,54,0.0007209805335255948
february,7,58,0.0026929982046678637
february,7,71,0.0008849557522123894
february,7,77,0.0042158516020236085
february,7,78,0.015293118096856415
february,7,103,0.00234375
february,7,114,0.006381039197812215
february,7,120,0.0007763975155279503
february,7,134,0.0011940298507462687
february,7,139,0.031007751937984496
february,7,140,0.0008726003490401396
