month,absolute,weighted,jaccard_score
january,1,12,0.00847457627118644
january,1,53,0.9333333333333333
january,2,1,0.31756756756756754
january,3,1,0.2085889570552147
january,3,35,0.30612244897959184
january,5,9,0.020935960591133004
january,5,12,0.40186915887850466
january,6,9,0.018205461638491547
january,7,29,0.954337899543379
january,8,29,0.0410958904109589
january,9,9,0.03495630461922597
january,9,31,0.3404255319148936
january,11,1,0.4110429447852761
january,11,7,0.18292682926829268
january,12,9,0.2601726263871763
january,12,12,0.12828947368421054
january,12,31,0.0031446540880503146
january,13,8,0.03676470588235294
january,13,9,0.1558109833971903
january,13,10,0.04411764705882353
january,13,12,0.0044444444444444444
january,25,9,0.007802340702210663
january,26,9,0.05721716514954486
january,28,9,0.011703511053315995
january,30,31,0.09090909090909091
january,37,2,0.01
january,37,9,0.32960199004975127
january,37,29,0.0019305019305019305
january,37,31,0.06086956521739131
january,37,53,0.003048780487804878
january,37,100,0.013333333333333334
january,37,113,0.01
january,42,3,0.140625
january,42,9,0.06794871794871794
january,48,31,0.09090909090909091
january,75,12,0.06666666666666667
january,80,4,0.9652173913043478
january,80,50,0.034782608695652174
