month,absolute,weighted,jaccard_score
march,0,2,0.3591549295774648
march,0,3,0.003278688524590164
march,0,5,0.00322234156820623
march,0,42,0.005128205128205128
march,0,112,0.0016891891891891893
march,1,2,0.08247422680412371
march,1,3,0.043209876543209874
march,4,9,0.21608040201005024
march,4,12,0.030927835051546393
march,4,52,0.08247422680412371
march,5,2,0.06803594351732992
march,5,5,0.004228329809725159
march,5,7,0.043478260869565216
march,5,16,0.007246376811594203
march,5,84,0.0064516129032258064
march,5,105,0.024793388429752067
march,6,2,0.07790549169859515
march,6,3,0.005681818181818182
march,6,5,0.037422037422037424
march,6,35,0.025157232704402517
march,7,2,0.028169014084507043
march,7,3,0.07954545454545454
march,7,112,0.1875
march,9,14,0.678082191780822
march,9,21,0.13675213675213677
march,11,5,0.008064516129032258
march,11,49,0.45
march,12,16,0.7222222222222222
march,13,2,0.005184705119896306
march,15,5,0.002583979328165375
march,15,84,0.9166666666666666
march,18,9,0.5948717948717949
march,18,14,0.008333333333333333
march,21,5,0.021917808219178082
march,21,53,0.5789473684210527
march,31,9,0.05853658536585366
march,31,14,0.1513157894736842
march,34,2,0.003727369542066028
march,34,5,0.7892030848329049
march,34,6,0.008771929824561403
march,34,7,0.014742014742014743
march,34,8,0.011695906432748537
march,34,9,0.005517241379310344
march,34,14,0.006423982869379015
march,34,51,0.0028653295128939827
march,34,84,0.0026595744680851063
march,34,111,0.011267605633802818
march,35,0,0.009433962264150943
march,35,2,0.23555276381909548
march,35,5,0.00516795865633075
march,35,7,0.0020242914979757085
march,35,16,0.0091324200913242
march,35,38,0.030660377358490566
march,35,42,0.0117096018735363
march,35,49,0.01991150442477876
march,35,57,0.007075471698113208
march,37,10,0.8
march,40,35,0.7777777777777778
march,43,2,0.016850291639662993
march,51,49,0.2702702702702703
march,53,51,0.875
march,70,7,0.5773195876288659
march,70,73,0.15853658536585366
march,70,111,0.1511627906976744
march,73,2,0.01277139208173691
march,73,3,0.25
march,73,5,0.02056555269922879
march,77,9,0.10594315245478036
march,111,2,0.0944372574385511
march,111,10,0.006535947712418301
